제목,질문,답변,https://kin.naver.com/search/list.nhn?query=어떤+병원+-동물+-성형+-강아지+-피부과+-개인회생+-인테리어+-진로+-커리큘럼+-자동차+-도서+-보험+-교통+-차+-간호학과+-학과&sort=date&period=2018.07.07.|2018.07.11.&section=kin&page=1
헬리콥터가 저희 아파트단지 근처쪽에서 엄청낮게날던데,어제 저녁쯤에 어떤 헬리콥터가 거의 아파트랑 비슷한높이로 날아다니고있던데 아니 사람이 이렇게 많이사는곳에서 저래도 되는건가요?,"**특별한 경우.. 즉 비상 상태 등이 아리라면 항공기 - 헬기 등도 비행고도, 소음 등에 대한 규정이 있습니다.그 규정이 맞다 하더라도 저공비행으로 주민 생활에 자주- 지속적으로 악영향을 끼치면 관계기관등에 민원을 제기 할 수 있고 대책을 요구할 수 있습니다.절대 정상적인 것은 아닙니다.그러나 특별한 이유가 있다면 그 이유를 사전에 관공서, 지자체 등에 통보 의무도 있습니다.~!@참고하시고.의문점, 궁금한 점은 추가 질문으로 올리세요."
국제위러브유운동본부(회장 장길자)가 클린월드활동??? 외에 어떤 활동들을 하고 있는지 궁금합니다!!,갑자기 궁금해서 질문올려 봅니다.얼마전에 친구가 속해있는 장길자 회장님의 국제위러브유운동본부? 봉사단체에서거리정화운동을 해서 참여 했습니다. 봉사를 열심히 하는 단체라고는 알고는 있는데요!!들어보니 다른 여러가지 활동도 하는것 같더라구요!!? 국제위러브유운동본부(장길자회장)가 클린월드활동??? 외에 어떤 활동들을 하고 있는지 궁금합니다!!다녀오신분들 있으면 답변 부탁합니다.,"국제위러브유운동본부는 장길자회장님을 필두로 봉사의 뜻을 함께하는 단체입니다.저도 몇 주 전에 국제위러브유운동본부에서 봉사활동을 했습니다.클린월드운동 말이죠~~클린월드는 이름에서 느껴지듯 환경운동을 대표적으로 합니다.깨끗한 물, 공기, 지역, 삶을 가꾸고 지켜서 우리의 후손에게 물려준다는 이념 아래환경을 정화하며 인류복지를 완성하자 목표를 가지고 봉사하는 글로벌 복지단체입니다.올해, UN이 정한 세계 환경의 날인 6월 5일에요...한달이 지났네요.그 날이 더 의미 있었던 것은 국내뿐 아니라 미국, 몽골, 캄보디아,페루,브라질, 뉴질랜드, 그리스, 베뱅 등등 위러브유 회원들이 있는 세계 곳곳에서6월 한달동안 쭉 릴레이로 이루어졌다는 점~~~^^왜 이런 운동이 일어났을까요?? 국제위러브유운동본부(회장 장길자)는 유엔과 ""UN SDGs""(유엔 지속가능발전목표(UN Sustainable Development Goals,약칭 UN SDGs)는 2015년 유엔 총회에서 193개국이 채택한 의제로 인류의 보편적 문제,지구환경 문제, 경제‧사회 문제를 해결하기 위한 유엔과 국제사회의 최대 공동목표를 뜻한다.)뜻을 함께합니다~~^^최근 지구환경 문제 중 하나인 이상기후현상으로 전세계가많이 힘어지는 시대를 살고 있습니다.어찌보면 사람들이 벌인 잘못된 습관들이 다시 사람에게 돌아오는게 아닐까 싶어요.얼마전에 인터넷 기사로 읽게된 이야기가 생각나네요.비닐류나 플라스틱류 때문에 많은 바다 생물들이 삶에 위협을 받고 있다고요.그에 관한 경각심을 심어주기 위해 많은 예술가들이 재활용품으로 고통받는 동물들의모습을 형상화해 만든 작품들을 보았습니다.언젠가부터 서울 하늘은 미세먼지로 인해 푸르른날을 찾기 힘들고이른 폭염과 아열대성 장마, 재활용품 분리수거에 대한 정책으로 시민들이 혼란에 빠지고...먼 나라에 이야기가 아닌 우리 가까이에서 점점 내 이야기로 다가오는게 현실입니다.환경보호?? 그건 남에 이야기??이제는 내가 먼저 자발적의사를 가지고 환경보호를 위해 참여해야만 하는 시대입니다.나 하나는 괜찮겠지? 하는 생각이 지구 전체를 지배한다면 우리는 어디에 발을 딛고살아야할까요?환경복지 뿐 아니라 국제위러브유운동본부(회장 장길자)에서는아동.청소년복지,사회복지,긴급구호 등 우리 이웃 중 누구도 소외됨없이 행복을 추구할 수 있도록 복지활동에 힘을 쓰고 있습니다.얼마전 제주도에 난민 이주문제로 문제가 이슈로 떠오를 정도로 전쟁, 내전으로 인한난민문제가 국제사회에 큰 문제로 떠오르고 있습니다.국제위러브유는 2017년에도 요르단하심왕국자선기구(JHCO, Jordan Hashemite Charity Organization)를 통해 요르단 거주 시리아 난민들에게식료품지원, 구호 개발을 위해 이라크연합의료협회를 통해 이라크 국내 실향민들에게의약품을 지원한 바도 있습니다.인류가 살고 있는 곳곳에 우리에 도움이 필요치 않는 곳이 없습니다.내 작은 도움이 다른 사람의 인생에 좋은 씨앗이 되어 내 도움을 받은 사람이 또 다른이를돕고, 또 다른이를 돕고 돕고...돕는 그런 봉사의 행위가 전세계에 퍼지고 퍼져서지구도 나도 인류도 다 행복해졌으면 합니다."
국제위러브유운동본부(회장 장길자)가 클린월드활동??? 외에 어떤 활동들을 하고 있는지 궁금합니다!!,갑자기 궁금해서 질문올려 봅니다.얼마전에 친구가 속해있는 장길자 회장님의 국제위러브유운동본부? 봉사단체에서거리정화운동을 해서 참여 했습니다. 봉사를 열심히 하는 단체라고는 알고는 있는데요!!들어보니 다른 여러가지 활동도 하는것 같더라구요!!? 국제위러브유운동본부(장길자회장)가 클린월드활동??? 외에 어떤 활동들을 하고 있는지 궁금합니다!!다녀오신분들 있으면 답변 부탁합니다.,"안녕하세요 ^^ 활발하게 봉사 활동하는 국제위러브유 운동본부에대해 알려드릴게요!저도 얼마전에 장길자회장님께서 이끄시는 클린월드 운동에 참여하고 왔네요~국제 위러브유 운동본부는 클린월드 운동외에 다양한 활동이 많이 진행됩니다.대표적인 활동으로는 새생명 사랑의 콘서트가 있어요새생명 사랑의 콘서트는 장길자 회장님께서 심장병 어린이와 희귀,난치병 어린이를 지원하기 위해 마련한 행사랍니다.2000년부터 시작해 매년 겨울에 콘서트가 열리고 있어요!현재는 청소년 가장 및 저소득가정 어린이들과 독거노인, 외국인 재해근로자, 다문화 가정, 각종 재난으로 고통받는 지구촌 이웃등 다양한 계층으로 지원 범위가 확대되었습니다.18회까지 이어진 새생명 사랑의 콘서트는 그 동안 150,000명이 다녀간 엄청난 규모의 행사죠^^그리고 한가지더 말씀드리자면 전 세계 헌혈 하나둘 운동이 있습니다!국제위러브유운동본부(회장 장길자)는 생명을 낳고 사랑으로 기르는 어머니의 마음으로헌혈하나둘운동을 전개하고 있습니다.2004년 서울 광장에서 1만여 명의 회원과 시민들이 함께한 가운데 헌혈하나둘운동을 처음 실시한 바 있으며, 이후 전국의 회원들이 평소 꾸준히 헌혈에 동참해왔습니다.2009년부터는 각 지부별 단체 헌혈을 통해 헌혈의 중요성과 필요성을 알리고, 국내외에서 혈액부족해소에 기여해왔습니다.그동안 실시된 151여 차례의 ‘헌혈하나둘운동’에는 세계 곳곳에서 국제위러브유운동본부 회원들을 비롯해 자원봉사자 등 35,231명이 동참했습니다. 그 가운데 13,191명이 귀한 혈액을 제공하여 혈액 부족으로 죽어가던 수많은 생명을 살렸습니다.또한 국제위러브유운동본부는 회원들과 자원봉사자들이 기증한 헌혈증서를 모아심장병, 희귀·난치병, 백혈병 어린이, 암 환자 등 혈액투석과 수혈을 필요로 하는 환자들을 위해 관련 단체와 인근 병원에 전달하고 있습니다.이 활동 외에도 더 다양한 활동이 활발히 진행되고있어요새생명 가족걷기대회, 물펌프 프로젝트, 사랑의 김장나누기 등등장길자 회장님의 봉사에대한 열정으로 회원들이 하나가 되어 적극적으로 활동하고 있는 단체가국제 위러브유 운동본부랍니다^^활동은 다양하지만 마음은 하나!바로 어머니 마음으로 이웃을 사랑하는 마음이죠^^이러한 마음덕분에 위러브유 봉사활동이 더 칭찬을 받는것같아요!친구분을 통해 더 많은 활동에 같이 참여해보시면 느끼실수있을 거예요^^감사합니다."
국제위러브유운동본부(회장 장길자)가 클린월드활동??? 외에 어떤 활동들을 하고 있는지 궁금합니다!!,갑자기 궁금해서 질문올려 봅니다.얼마전에 친구가 속해있는 장길자 회장님의 국제위러브유운동본부? 봉사단체에서거리정화운동을 해서 참여 했습니다. 봉사를 열심히 하는 단체라고는 알고는 있는데요!!들어보니 다른 여러가지 활동도 하는것 같더라구요!!? 국제위러브유운동본부(장길자회장)가 클린월드활동??? 외에 어떤 활동들을 하고 있는지 궁금합니다!!다녀오신분들 있으면 답변 부탁합니다.,"좋은 활동에 참여 하셨군요^^저는 이번에 이루어진 클린월드운동에 피치 못한 사정으로 참석하지 못해 너무 아쉬었어요ㅠㅠ국제위러브유운동본부(회장 장길자) 여러가지 활동을 하지만 그 가운데 대표적인 활동은새생명 사랑 가족걷기대회, 새생명 사랑의 콘서트, 전세계 헌혈하나둘운동,물펌프 프로젝트, 그리고 잇님이 다녀오신 클린월드운동을 들 수 있죠새생명 사랑 가족걷기대회는 지구촌 어려운 이웃들을 돕기 위해 해마다 개최하는 복지 행사입니다.새생명 사랑의 콘서트는 심장병 어린이와 희귀.난치병 어린이를 지원하기 위해 마련한 행사이며청소년 가장 및 저소득 가정 어린이들과 독거노인, 외국인 재해근로자, 다문화가정, 각종 재난으로 고통 받는 지구촌 이웃 등 다양한 계층으로 지원 범위를 확대하고 있습니다.전세계 헌혈하나둘운동은 국제위러브유운동본부(회장 장길자)회원들과 자원봉사자들이 기증한 헌혈증서를 모아 심장병, 희귀.난치병, 백혈병 어린이, 암 환자 등 혈액투석과 수혈을 필요로 하는 환자들을 위한 행사합니다.물펌프 프로젝트는 물 부족 국가지역에 수맥탐사와 시추작업을 벌이고 물펌프와 수도시설을 설치하여 깨끗한 물을 마실 수 있도록 하는 행사입니다.그 외에도 여러 할동을 하고 있습니다.궁금하시면  weloveu.or.kr로 가시면 더 많은 활동을 확인할 수 있어요"
국제위러브유운동본부(회장 장길자)가 클린월드활동??? 외에 어떤 활동들을 하고 있는지 궁금합니다!!,갑자기 궁금해서 질문올려 봅니다.얼마전에 친구가 속해있는 장길자 회장님의 국제위러브유운동본부? 봉사단체에서거리정화운동을 해서 참여 했습니다. 봉사를 열심히 하는 단체라고는 알고는 있는데요!!들어보니 다른 여러가지 활동도 하는것 같더라구요!!? 국제위러브유운동본부(장길자회장)가 클린월드활동??? 외에 어떤 활동들을 하고 있는지 궁금합니다!!다녀오신분들 있으면 답변 부탁합니다.,아는 지인분 통해서 가봤는데헌혈봉사도 하더라구요~헌혈 못했어요ㅠㅠㅠ철이 없어서...
국제위러브유운동본부(회장 장길자)가 클린월드활동??? 외에 어떤 활동들을 하고 있는지 궁금합니다!!,갑자기 궁금해서 질문올려 봅니다.얼마전에 친구가 속해있는 장길자 회장님의 국제위러브유운동본부? 봉사단체에서거리정화운동을 해서 참여 했습니다. 봉사를 열심히 하는 단체라고는 알고는 있는데요!!들어보니 다른 여러가지 활동도 하는것 같더라구요!!? 국제위러브유운동본부(장길자회장)가 클린월드활동??? 외에 어떤 활동들을 하고 있는지 궁금합니다!!다녀오신분들 있으면 답변 부탁합니다.,"안녕하세요~저는 국제위러브유운동본부 활동에 꾸준히 활동하고 있는 회원이예요..클린월드에 참여하고 오셨군요~ ^^장길자회장님께서 이끄시는 국제위러브유운동본부는 국적, 인종, 빈부, 종교를 초월하여 세계인의 화합과 우정을 위해 노력하고 있는 복지단체로, 전쟁, 기아, 지진, 등으로 고통받는 전 세계인에게 아동복지, 청소년복지, 노인복지, 사회복지, 긴급구호등 다양하고 전문적인 복지활동을'어머니의 마음'으로 실의와 절망 속에서 고통받는 인류에게 희망과 행복을 전하고 있답니다.국제위러브유운동본부 주요 봉사활동은 1. Clean WORLD 운동기후변화와 환경오염으로 지구촌 곳곳에서 지진, 폭염, 폭설, 기근, 가뭄, 질병 등 각종 재난들이 인류의 생명을 위협하고 있습니다. 지구환경보호에 대한 세계인들의 자발적 관심과 환경정화를 위한 꾸준한 실천이 필요한 때입니다. 국제위러브유운동본부가 전 세계에서 추진하고 있는 클린월드운동은 인류복지의 근간이 되는 물, 공기, 지역, 삶을 깨끗하게 보호하고 보존하여 후손에게 물려주기 위한 환경복지운동입니다. 클린월드운동의 월드(WORLD)는 지구환경을 구성하고 있는 ‘물(Water), 공기(Oxygen), 지역(Region), 삶(Life), 후손(Descendants)’의 이니셜을 조합한 것입니다. 깨끗한 마음으로 깨끗하고 안전한 환경을 만들어 후손에게 행복한 삶을 물려준다는 의미를 담고 있습니다. 클린월드운동은 모든 세계인들이 자기가 사는 주변 거리와 공원을 시작으로 산, 강, 바다등을 깨끗하게 정화하면서 삶의 터전을 보호하고 후손을 사랑하는 깨끗한 마음을 갖고자하는 의식개혁운동이기도 합니다. 2008년 7월 클린월드운동 선포식 이후 2012년까지 전세계 50개국 약 500개 지역의 세계인들이 클린월드운동에 동참하고 있습니다.2. 국제지원   (기후난민돕기/재해구호/재난구호/빈곤아동복지/국제교류)하나뿐인 지구, 그 안에서 살아가는 인류는 한가족과 다름없습니다. 지금 지구촌 가족들이 기후변화를 비롯해 각종 재난, 빈곤 등으로 어려움을 겪고 있습니다. 깨끗한 물이 없어 오염된 흙탕물을 마시는 아프리카 어린이들이 기생충 감염과 수인성 질병으로 고통을 호소하고, 그 모습을 지켜보는 어머니는 힘없이 눈물만 쏟아냅니다. 갑작스런 재난으로 삶의 터전을 잃어버린 사람들, 마음껏 공부하고 싶어도 책가방과 학용품이 없는 아이들…. 국제위러브유운동본부는 몸도 마음도 힘겨운 지구촌 가족들에게 어머니의 따뜻한 사랑을 전하며 구호 및 봉사활동을 펼칩니다. 아프리카의 가나와 콩고민주공화국, 케냐, 아시아의 캄보디아와 라오스, 인도 등 물이 부족한 지역에 수맥탐사와 시추작업을 벌이고 물펌프와 수도시설을 설치합니다. 이들에게 깨끗한 물은 목마름의 해소를 넘어 생명의 기적입니다. 가난에 시달리는 아이들에게 학용품과 학교시설 등을 지원하고, 지진 등 재난으로 삶의 터전을 잃어버린 이들에게 따뜻한 정성을 모아 구호물품과 의료비 등을 지원합니다.3. 사회복지   (헌혈하나둘운동/국가행사지원/국군장병위문/빈곤가정생계지원/장애인복지지원/다문화가정   지원)국제위러브유운동본부는 이웃들이 행복한 삶을 영위할 수 있도록 의료비와 생필품 등을 지원합니다.4. 아동/청소년복지   (심장병·난치병어린이돕기/빈곤·장애아동지원/아동교육지원/청소년가장가족돕기/청소년사회   활동지원/청소년바른의식고취/청소년인성교육)국제위러브유운동본부는 지구촌 어린이들이 더 나은 교육환경에서 배우기를 바라며, 학용품과 학교시설 등을 지원합니다.5. 노인복지(독거노인지원/경로위안잔치/양로시설방문봉사)국제위러브유운동본부는 지구촌 어린이들이 더 나은 교육환경에서 배우기를 바라며, 학용품과 학교시설 등을 지원합니다.6. 재해구호갑작스런 재난과 빈곤 등으로 실의에 빠진 지구촌 이웃들에게 삶의 희망이 담긴 구호품과 기금, 의료비를 지원합니다.이렇게 국제위러브유운동본부는 클린운동뿐만 아니라 도움의 손길 필요한 곳에 함께 하고 있답니다. 질문자님께서도 이번 기회에 국제위러브유운동본부의 회원이 되시면 함께 나누는 기쁨을 늘 하실 수 있답니다~ ^^"
쌍수한지 이제 6개월 조금 넘었습니다눈매교정+앞트임+절개로 했는데시간이 꽤 흘렀음에도 불구하고 눈이 상당히 부담스럽습니다ㅜ선이 너무 진하고 라인도 굵어서 망한거 같은 기분이 드는데 어떤거같나요? 어떻게 해야 할지 조언해주세요성의껏 답변 부탁드립니다,압구정 60대 중반/여 하지정맥류병원 시어머니 다리가 불편하신지가 좀 되셨는데 종아리 뒷쪽으로 혈관도 보이셔서 하지정맥류 병원을 가봐야 할거 같은데 어떤병원이...,안녕하세요. 대한의사협회·네이버 지식iN 상담의사 설재윤 입니다.수술후 6개월이 넘은 상태라면  부담스럽다는 눈은 더 개선되기는 어려울것 같네요~눈이 부담스러운 느낌은 쌍꺼풀쌍꺼풀이 앞에 몽고주름을 따라서 인라인으로 자연스럽게 라인이 생성되지 않고 아웃라인으로 강제적으로 만들면서 쌍꺼풀 라인을 강하게 고정되고 쌍꺼풀 두께가 두껍워서 보여지는 현상으로 생각합니다.수술한 병원에서 이점을 상담하시면 도움이 될것 같네요.
눈병걸리는법좀제가 학교를 가기싫어서 월요일날 새벽 4시30분까지 안자고눈을비볐는데 눈이 빨개져서 병원을 가봤는데 눈병이 의심돼니까 내일도 와보라 했는데 월요일날 저녁 쯤인가 조금 빨간거에여 조금 그래서 내일 없어지면 안돼는대하면서 5시30분에 일어나서 비볐는데 그리고 아침에 동전 더러운거 많이넣고 동전 넣은물에 눈 10번깜박거리는걸 10번하고 눈도 많이비볏는데 화요일도 의심이 되니까 가지 말라햤어요 그런데 내일또 학교 안가고싶은데 확정 나는 방법없나요 눈에 먼지도 넣어봣고 샴프도 넣어봣고 거품도 넣어봣고 동전 많이넣은 물을 눈에 2방울 이상 물어봤어요 이정도면 내일 눈병판정 받을까요? 지금 눈이 아주쪼금 빨게여 내일 눈병 판정 받는방법 없을까요? 내공 100,압구정 60대 중반/여 하지정맥류병원 시어머니 다리가 불편하신지가 좀 되셨는데 종아리 뒷쪽으로 혈관도 보이셔서 하지정맥류 병원을 가봐야 할거 같은데 어떤병원이...,질문자가 하신 방법들은 눈병 걸리기 위한 방법이 아닌 눈 실명을 위한 방법 인거 같네요. 학교에 어떤일로 가기 싫은 지는 모르겠지만 눈에 손상이 많이 가는 짓을 하시면 눈병판정이 아닌 장님 판정을 받으실거 같습니다. 지금 가기 싫어서 내일 못보는 불상사는 없으시길 바랍니다.
갑작스럽게 헤어진 여자친구.. 삶이 무의미하고 힘들고 죽고싶다고 말합니다. 아니 정말로 자살을 생각하는 것 같습니다.최대한 제 나름대로 설득해보긴 했지만 오빠도 사회에서 또는 병원에서 하는 말이랑 똑같은 말만 반복한다며 실증내더군요..너무 걱정되고 답답하지만 제가 아무리 생각해도 답이 나오지 않아서 질문해봅니다..,압구정 60대 중반/여 하지정맥류병원 시어머니 다리가 불편하신지가 좀 되셨는데 종아리 뒷쪽으로 혈관도 보이셔서 하지정맥류 병원을 가봐야 할거 같은데 어떤병원이...,진짜 답이없네요 저도 이런 경험을 해봤지만 정말 답답하고 마음아픈것 같아요하지만 인생은 그사람을 위해 사는게 아니잖아요내인생이고 내 행복을 위해 살아가는건데...질문자님께서 정말 정말 생각 잘 해보시길 바랍니다.저는 제 인생을 살기 위해... 손을 놨어요화이팅 하시고!! 정말 정말 힘내세요~!!
갑작스럽게 헤어진 여자친구.. 삶이 무의미하고 힘들고 죽고싶다고 말합니다. 아니 정말로 자살을 생각하는 것 같습니다.최대한 제 나름대로 설득해보긴 했지만 오빠도 사회에서 또는 병원에서 하는 말이랑 똑같은 말만 반복한다며 실증내더군요..너무 걱정되고 답답하지만 제가 아무리 생각해도 답이 나오지 않아서 질문해봅니다..,압구정 60대 중반/여 하지정맥류병원 시어머니 다리가 불편하신지가 좀 되셨는데 종아리 뒷쪽으로 혈관도 보이셔서 하지정맥류 병원을 가봐야 할거 같은데 어떤병원이...,"현재의 그런 증상은, 현대병 이라고도 하고, 현대인 이라면 모두가 보편적으로 갖고 있는, 정신장애인 신경증(노이로제)의 증상 중 우울신경증의 증상에 해당하는 증상입니다.사랑하든 사람으로 부터 베척을 받거나 절교를 하여서 헤여지게 되면, 우울한 마음이 발생하고, 그런 마음이 지속이 되면, 우울신경증으로 발전을 하지만 적극적으로 정신치료를 받으면 쉽개 왼치가 되는 증상 입니다.이런 증상이 있다면 조속한 기일 안에 정신과전문의의 진료를 받고,치료에 대한 상담을 하시고,적극적으로 정신치료를 받아야,완치가 될 것입니다.그리고 조속한 기일 안에 임상심리전문가로 부터 종합심리진단검사인, M.M.Q(mandsel medical questionnaire), H.T.P(house tree person), Bender Gestalat , Sentence Completion, M.M.P.I(minnesota multiphasic personality inventory), Rorschach, T.A.T(themat apperction test),등의 정밀검사를 받아 보셔서,증상의 종류와 상태를 자세하게 파악을 하셔야,앞으로의 정신치료에 근본적인 바탕이 되고,완치를 하는 대도 큰 도움이 된다는 사실 입니다.이러한 정밀검사로 통해서,먼저 질병의 증상의 종류와 상태를,자세하게 파악을 하시는 일이 가장 중요하며,정신치료를 시작을 하면,적극적으로 완치가 될 때 까지,정신치료에 정성을 다해서 치료를 하여야 완치가 될 것이며,약물치료는 하지 말아야 하는데,이런 약물들은 향정신성 의약품들이고,이런 약들을 장기 복용을 하면 중독의 위험성과 후유증이 발생하기도 하기에,복용을 하지 않는 것이 중요하며,적극적으로 정신치료를 받아야 만,완치가 된다는 사실을,이해 하셔야 할 것입니다.정신장애라는 증상은 초기 상태일 때,적극적으로 치료를 하여서 꼭 완치를 하여야 하며,이런 때를 놓치면,점차 증상이 심화가 되어서,성격장애에서 다음 단계인 신경증으로 발전을 하고,신경증을 완치 하지 않고 방심을 하면,정신분열증으로 발전을 하는 것이며,이런 정신분열증은 초기 상태는 그래도 치료가 가능 하여서,완치에 가깝도록 치료가 되지만,중기 이상 만성의 상태는 치료가 불가능 하다고 정신과전문의들은 말을 합니다.이렇게 되면 정신과나 정신요양원에 장기 입원을 하여서,치료보다는 관리를 한다는 마음으로 처리를 하는 것이 좋고,이런 증상이 막바지에 다 다려서 정신분열증이로 발전을 하게 되면,한 사람의 인생을 망치는 경우가 된다는 사실을,이해 하셔야 할 것입니다,그렇기에 정신장애라는 증상은 무서운 증상이고,이런 증상을 방심히지 않고,적극적으로 정신치료를 받아서,완치를 하는 것이 정신건강유지에 많은 도움이 될 것입니다."
갑작스럽게 헤어진 여자친구.. 삶이 무의미하고 힘들고 죽고싶다고 말합니다. 아니 정말로 자살을 생각하는 것 같습니다.최대한 제 나름대로 설득해보긴 했지만 오빠도 사회에서 또는 병원에서 하는 말이랑 똑같은 말만 반복한다며 실증내더군요..너무 걱정되고 답답하지만 제가 아무리 생각해도 답이 나오지 않아서 질문해봅니다..,압구정 60대 중반/여 하지정맥류병원 시어머니 다리가 불편하신지가 좀 되셨는데 종아리 뒷쪽으로 혈관도 보이셔서 하지정맥류 병원을 가봐야 할거 같은데 어떤병원이...,어떤이유로 누가먼저 헤어지자고했는지는 모르겠으나 당장 질문자님이 해주실수있는건 없어요.그리고 이별했기때문에 질문자님이 고민하실부분이 아니죠.만약질문자님이 이별을 고한쪽이라면이런 관심이 오히려 상대에겐 희망고문일지도 모르겟다느 생각이 좀드네요
갑자기 시력이 저하 되고 빛번짐이 심한 건 왤까요?제목 그대로 입니다나이는 20대초반이고라섹 라식 렌즈삽입 등등 수술 시술 한 번 도 한 적 없고 렌즈도 껴 본 적 없습니다원래 시력이 많이 낮기는 했습니다만 한 1년 새에 시력 교정이 안 될만큼 시력이 나빠지고 빛번짐이 예전보다 훠어얼씬 심해졌습니다동네 안과를 가도 시력이 떨어질만한 원인이 없다고 이유를 모르겠다는데참 답답하고 어떻게 해야 될지를 모르겠습니다대학병원에 가면 알 수 있을까요?ㅠㅠ이러다가 시력을 아예 잃는 건 아니겠죠?ㅠㅠㅠ,압구정 60대 중반/여 하지정맥류병원 시어머니 다리가 불편하신지가 좀 되셨는데 종아리 뒷쪽으로 혈관도 보이셔서 하지정맥류 병원을 가봐야 할거 같은데 어떤병원이...,"안녕하세요  ^.^ 네이버 안과 분야 랭킹1위 eye 1004 입니다1년 새에 시력 교정이 안 될만큼 시력이 많이 나빠지고 빛번짐이 예전보다 훨씬 심해져서 어떤 원인지 궁굼해서 문의하셨군요.눈부심은 안과적인 문제인데 안과에선 아무 이상이 없다고 하신 걸 보면  단순한 안구건조증이나 어떤 안질환으로 보기 보다는 다른 관점에서 답을 드려 보겠습니다 질문자분의 증상으로 미루어보아 미국 검안 eyedoctor 들이 진단한 ""Eye Teaming Problems (눈협동기술장애)”를 의심해 볼 수 있습니다. Eye Teaming Problems 장애가 있으면 빛에 민감하여 눈부심이 심하고 눈이 쉽게 피로해지고 집중하기 힘든 증상이 동반되기도 하지요.심한  경우엔 질문자님처럼 갑자기 시력저하가 되기도 합니다 이것때문에 시력을 잃은 건 아니니 너무 걱정안하셔도 됩니다  이러한 상태는 매우 악화된 경우에 해당이 됩니다.그런 경우에 미국 검안 eyedoctor들은 단순한 시력 검사외에 아래와 같은 다양한 검사를 합니다.       위 검사에서 언급한 것처럼 질문자님은 eye teaming skills(눈협동기술)이 안좋아서 생긴 증상일 가능성이 있습니다. Eye Teaming Problems 장애가 맞는지 자가 확인하는 방법이 있습니다. 따라해보시지요.  그런 증상이 왔을 때 안대를 한다거나 손으로 한눈을 가리고 먼 곳이나 멀리 있는 나무를 20분정도 보세요.  20분정도 먼곳을 보면 눈 피로 증상이 조금이라도 완화되신다면 Eye Teaming Problems 장애가 거의확실합니다. 만일 증상이 완화된다면 제가 예상한 것이어서 케어하는 방법을 알려드리고자 합니다.    Eye Teaming Problems 장애가 있을 때 미국 eyedoctor들은 eye teaming skills(눈협동기술)에 관한 검사를 받고 처치하고 있습니다.그 한가지 방법으로 특수안경을 쓰게 되면 완화되는 경우도 있습니다.   저는 강남에서 일하는 eye 테라피스트로서 경험에 근거하여 답을 드려 보았습니다.조금이나마 도움이 되셨으면 합니다. 이와 관련된 검사를 무료로 검사받고 상담을 원하시면 아래 블로그로 질문을 주시기 바랍니다.  쾌유를 빕니다..   답변출처: http://blog.naver.com/24yes24.do"
