제목,질문,답변,https://kin.naver.com/search/list.nhn?query=어떤+병원+-동물+-성형+-강아지+-피부과+-개인회생+-인테리어+-진로+-커리큘럼+-자동차+-도서+-보험+-교통+-차+-간호학과+-학과&sort=date&period=2018.10.22.|2018.10.26.&section=kin&page=1
"진료의뢰서 유효기간은 1주일, 종합병원은 에약일은 한달 이상 뒤, 어찌 해야 하나요?","진료의뢰서 유효기간은 1주일, 종합병원은 에약 가능일은 한달 이상 뒤, 어찌 해야 하나요? 위 상황에서 어떤 조치를 해야 하나요?건강검진 결과지로 2차병원 진료할 수 있는 유효기간은 어찌 되나요?",예약 가능일은 한달 이상 뒤 이면 예약 가능일 며칠전에 진료의뢰서를 또 띄어서 며칠 있다가 그 진료 의뢰서로 예약하면 됩니다.
모발이식후기 찾아 보고 놀랐습니다....,모발이식후기 찾아 보고 놀랐습니다. 진짜 많네요 더 놀라운건 모발이식후기가 다 좋아요.느낌만 볼수 있음 모발이식후기라서 그런건지 실제 모발이식후기가 좋은건지 보는 방법이 있나요,모발이식후기 찾아 보고 놀랐습니다. 진짜 많네요 더 놀라운건 모발이식후기가 다 좋아요.느낌만 볼수 있음 모발이식후기라서 그런건지 실제 모발이식후기가 좋은건지 보는 방법이 있나요 - 글세요 실제로 모발이식후기는 믿을만한 내용은 아니라고 보여집니다하면은 다들 머리숯도 많아지고 좋을것인데 모발이식후에 관리를 잘해야지머리가 안빠질겁니다 꾸준히 이식후 관리를 해줘야 할것입니다
모발이식후기 찾아 보고 놀랐습니다....,모발이식후기 찾아 보고 놀랐습니다. 진짜 많네요 더 놀라운건 모발이식후기가 다 좋아요.느낌만 볼수 있음 모발이식후기라서 그런건지 실제 모발이식후기가 좋은건지 보는 방법이 있나요,"답변 드립니다. 그리고 보신 모발이식후기는 대부분 사진으로만 볼 수 있는 모발이식후기였을 가능성이 높을 것으로 생각됩니다. 사진으로 된 모발이식후기는 전문가인 제가 보아도 실제 결과에 대해 예측하기 어려운 경우가 더러 있습니다.흔들렸거나, 선명도가 심하게 떨어지는 사진의 경우 어느 정도 이미지만 보일 뿐 제대로 된 정보를 가지고 있는 후기가 될 수는 없습니다.그리고 수술전과 후의 모발길이 혹은 헤어스타일이 다른 경우도 보셨을 텐데요.기본적으로 탈모가 있으신 분들이 가장 먼저 탈모를 커버하는 방법이 바로 헤어스타일입니다.이런 점을 생각해 보았을 때 수술전에는 탈모 부위를 부각시켜 사진을 촬영하고 후에는 모발로 충분히 가린 후 촬영하게 되면 수술전과 수술후의 효과가 극적으로 보이게 됩니다.여기까지 생각하신 분들이 확인하는 모발이식후기는 머리띠를 착용한 후기 입니다.특히, M자탈모와 헤어라인교정 후기를 보면 머리띠를 한 후기가 눈에 많이 보이실텐데요.물론 라인이 어색하거나, 밀도가 현저히 떨어진다면 이런 사진으로도 충분히 판별이 될 수 있겠지만 실제 눈에 띌 만큼 밀도가 떨어진다 해도 이런 사진으로는 정확히 구분해 낼 수 없습니다.그래서 본원에서는 모발이식후기를 동영상으로 제공하고 있습니다.다양한 각도는 물론이며 전체적은 라인도 확인하는 것을 기본으로 모발밀도를 체크할 수 있다는 것이 동영상 모발이식후기의 장점입니다.후기를 보실 때에는 이렇게 동영상으로 제작된 결과물을 보시는 것이 좋으며 단순히 한두개 정도의 케이스가 아닌 다양한 케이스가 있는지 확인하는 것이 좋습니다.하지만 모발이식후기는 병원을 선택하는데 선택에 도움을 줄 뿐이며 병원의 전문성과 전문의의 실력을 알아보셔야 합니다.모발이식만을 전문으로 하는 병원인지. 신기술을 보유하였는지. 생착률을 높이기 위한 시스템에는 어떤 것이 있는지. 대량모발이식에서도 흔들림 없는 생착률을 보이는지 등 홈페이지와 상담을 통해 면밀히 살펴본 후 선택하기를 권해드립니다.궁금한 점에 대해 도움이 되었으면 좋겠습니다."
코필러실명,제가일주일전에 코필러를맞았었는데 그이후로 눈에아무것도들어간게 아닌데 눈이따가워서요ㅠ 한15분정도이게 계속되는데 너무따가워서 눈을뜰수도없고 계속눈감고눈물만흘러요 ㅠㅠ이게점점발생주기가 높아져서 병원을가야되는데 안과를가야될지 그 필러맞은곳을가야되는지몰리서질문드려요,코필러를 놓으면서 일부러 실명을 시키려고 놓아도 실명 시키기가 어렵습니다.코필러는 코끝을 놓을 때 코끝 피부가 괘사되는 것이 부작용이고 미간을 놓을때 옆쪽으로 놓다가 눈으로가는 혈관을 막을때 실명이 오는 경우가 있을 수있습니다.그때는 필러를 놓을때 통증이 오기 시작하고 눈이 잘 안보이고  바로 증상이 나타납니다.실명을 걱정할 필요는 지금은 없으므로 걱정을 하지 안아도 되고 안과를 가보아도 되고필러를 맞은 병원에가도 됩니다.아마마도 어떤 다른 원인으로 각막을 다쳐  염증이나 결막에 염증이 생긴 것으로 추측이 됩니다.
발바닥통증 괜찮아지겠죠?,발바닥통증이 있습니다.  많이 안 걷고 무리하지 않으면  괜찮아질 수 있겠죠?  집에서 발바닥통증 완화하는  방법 어떤게 있는지 알려줄 수 있나요?  발바닥통증 원인은 뭘까요?  마사지로 풀어줘도 다음날 저녁 되면  똑같은 것 같아요...,"안녕하세요. 대한의사협회·네이버 지식iN 상담의사 김옥선 입니다.발바닥통증이 있으시군요.완화하기 위해서는 일단 편한 신발을 신어 주시는것이 좋고 패트병을 얼려서 발바닥에 대고 마사지를해주시는 것입니다.그러면 통증이 어느 정도 완화되게 되면서 편안함을느끼실 수 있죠. 하지만 불편한 신발을 신거나 스트레칭및 마사지 등이 소홀해 진다면 통증이 재발할 수 있어요.이처럼 생활습관만 교정하게 되더라도 증상이 완화될 수있습니다.단, 기간이 오래 걸리실 수 있으니 인내심을 가지고 진행해주시는 것이 좋습니다. 하지만 증상의 원인을 명확히 파악하고치료를 하시는 것이 좋으니 병원을 방문하여 증상을 확인해보시고 진행하시기 바랍니다.쾌유를 빕니다.감사합니다."
당뇨 / 다리에 여드름,"안녕하세요당뇨가 있는 사람에게 나타나는 증상으로다리에 여드름이 날수가 있나요정확하게 어떤 증상이냐면다리 곳곳에 여드름(?), 고름같은것이 나구요난 곳 주변에 멍든것처럼 살이 퍼런색이구그 주변 살이 근육있는것처럼 딱딱해요통증도 있구요이거 어떤 증상인가요?","당뇨는 병원가보시고 여드름이 맞다면 다리 위주로 우선 잘 씻으세요 저도 여드름과 여드름흉터때문에 우울증도 심했고 스트레스도 많이 받았습니다.(여드름하고 여드름흉터 없는 사람들 보면 정말 부럽고 행복해보였어요 저는 색소침착도 있었고요. 여드름 여드름흉터 겪어본 사람밖에 심정 모르죠) 제가 겪었던 입장에서 동병상련이라고 생각하면서 말씀드릴게요. 여드름은 피부의 모공이 막혀서 생기는 피부질환. 탈모와 함께 인류를 괴롭혀온 불치병이며 현재진행형이다. 여드름은 가장 대중적인 피부질환이라 피부에 난 질환들을 가리키는 말인 '피부 트러블' 혹은 '뾰루지'라고 하면 이 여드름을 칭하는 경우가 많다. 물론 모낭염이나 피지낭종 같은 다른 피부 질환들을 포함하여서도 쓰이고, 어떤 피부과 의사들은 ""굳이 (치료법이나 원인을) 구분할 필요가 없어 그냥 얼굴에 나면 죄다 뾰루지라고 부른다.""라고 말하기도 한다. 여드름을 제때 제대로 관리를 못하면 흉터를 남기기도 한다. 이후 흉터 치료하려면 피부과에서 돈 수백만원은 우습게 깨진다. 그것도 완치가 아니라 효과가 좋을 경우 흉터가 눈에 잘 안띄는 수준으로 완화되는 정도이다. 시술법이나 의사에 따라 개인차가 있다. 무리하게 짜거나 만지면 흉질수도 있다. 다만 병원에서 짜도 가끔씩 흉이 생긴다는게 함정 그리고 돈이 깨진다 여드름이 나는건 어떻게 하지 못하더라도 여드름이 난다면 곪지 않도록, 곪더라도 흉을 남기지 않도록 처치를 잘 해야 나중에 후회하지 않는다. 여드름의 원인이 되는 피지 분비와 모공 폐쇄에 대한 정확한 원인이 밝혀지지 않았기에, 온갖 설만 무성할 뿐 확실한 예방법은 지금도 딱히 없다. 결국 일상생활에서 그나마 최선은 규칙적인 생활과 세안 등으로 과도한 피지 분비를 조절하고, 스트레스 대신 면역력을 기르는 것이라고 볼 수 있다. (모 백과사전 '여드름' 항목 일부 인용)  위에서 읽으셨듯이 집에서 무엇보다 할 수 있는 가장 기본적인 것은 세안(세정)이 중요하다고 할 수 있습니다. 세안제(세정제)로는 에스티트 알부틴 비누 혹은 에스티트 티트리 비누 권장드리고(저같은 경우는 둘다 같이 아침저녁으로 번갈아가면서 사용했습니다.) 또한 과일(당근, 브로콜리, 양배추 등이 좋습니다)과 물을 많이 드셔서 수분과 비타민을 섭취하시는 것도 중요합니다.(물 하루 1~2L 추천) 숙면 충분히 취하시고 여드름때문에 스트레스 받지 마시고, 얼굴 손으로 막 만지지 마시고, 당연한 얘기지만 술 담배하신다면 절대 하시면 안됩니다.(특히 청소년은 절대 안돼요. 피부 문제 직격타) 제 경험상 작성한 것이니 도움받아보시고 도움되셨다면 채택부탁드립니다. (채택은 저를 힘나게 합니다)-여드름, 여드름흉터때문에 우울증 및 힘들었던 지식IN 물신 올립니다 같은 입장에서 도움됐으면 좋겠습니다-"
당뇨 / 다리에 여드름,"안녕하세요당뇨가 있는 사람에게 나타나는 증상으로다리에 여드름이 날수가 있나요정확하게 어떤 증상이냐면다리 곳곳에 여드름(?), 고름같은것이 나구요난 곳 주변에 멍든것처럼 살이 퍼런색이구그 주변 살이 근육있는것처럼 딱딱해요통증도 있구요이거 어떤 증상인가요?","혹시라도 당뇨 합병증일 수도 있으니, 담당의와 이야기해보는 것을 추천드립니다. 당뇨합병증증상 비교해보세요도움되셨으면 합니다. [당뇨 합병증] 급성 합병증은 당뇨병성 케톤산증과 고혈당성 고삼투압 증후군.만성 합병증으로는 미세혈관질환 합병증으로 망막병증, 신장병증, 신경병증 등이 있고, 대혈관질환 합병증으로는 관상동맥질환, 말초동맥질환, 뇌혈관질환 등이 있습니다.  혈당 조절이 되지 않으면 당뇨합병증은 계속 나타납니다.합병증에 초점을 맞추지 마시고 혈당 조절을 개선하시기 바랍니다. (검사비용은 병원마다 달라요. 50~100)  당뇨만큼 식이조절이 필요한 병도 없습니다.더 심해지시기 전에 치료하셔야합니다.정확한 지식으로 올바른 식생활 및 생활습관을 개선하셔서 당뇨합병증을 이겨내셨으면 합니다.    <핵산과 당뇨병> 서울대학교 논문발췌 당뇨병은 직접 겪어보지 않거나 가까이서 지켜보지 않았다면 그 이름만으로는 얼마나 무서운 병인지 쉽게 느낄 수 없다. 그 이름만 봐서는 소변에서 당이 기준치 이상 섞여 나온다는 단순한 이 질병이 가져오는 합병증의 공포는 좀처럼 느껴지지 않는다.▷ 원인,증상당뇨란 노화, 스트레스 , 비만 , 면역체계 이상 등의 여러 가지 원인에 의해 혈액 내 포도당의 농도가 정상 이상으로 높은 상태를 일컫는다.사람의 췌장에서 분비되는 인슐린은 혈액 속에서 포도당을 운반하여 단백질의 합성을 촉진하는데, 당뇨병은 대부분 췌장의 베타세포에서 분비되는 인슐린 부족 및 세포에 대한 인슐린 작용 이상에 의해 발병되는 만성대사질환이다.섭취된 탄수화물로부터 포도당을 조직에 사용하기 위해 췌장에서 인슐린이 적정량 분비되어야 하는데 당뇨병으로 인해 적시에 적정량이 분비되지 못하면 미처 이용되지 못한 포도당이 혈액 속에 넘쳐나고 따라서 혈액 내 케톤의 양도 과잉되게 된다.이 과량의 케톤을 체외로 내보내기 위해 소변의 양과 횟수도 많아지고 그러다 보니 물도 자주 마시게 되는 등의 소우 삼다현상 ( 다뇨, 다음, 다식 ) 현상이 나타나게 되는 것이다.▷ 합병증당뇨병이 무서운 이유는 혈당이 상승하고 소변에서 당이 검출되는 것에 그치지 않고 여러 가지 만성 합병증을 일으킨다는 점에 있다 . 인슐린의 분비가 부족하거나 인슐린의 작용이 저하되면 혈당이 높아지고 , 혈장이 일정 농도 이상 증가하면 신장 기능의 한계를 넘어 소변으로 당이 배설된다.몸에서 에너지로 이용되어야 하는 당이 소변으로 배설 되므로, 혈당을 높지만 몸의 조직에서는 에너지원이 부족하게 된다. 많은 칼로리를 섭취하더라도 체내의 조직에서는 이를 에너지원으로 제대로 이용하지 못하게 때문에 대신 우리 몸에 저장된 지방 및 단백질을 에너지원으로 소모하게 되어 체중이 감소하고 허약해지게 되는 것이다.또한, 혈당이 높으면 체내에서 단백질 합성이 이루어지지 않고 오히려 파괴가 일어나게 되므로 체내 조직의 회복이 저하되며 상처가 잘 낫지 않게 된다.당뇨병 환자는 몸의 대사활동이 정상적으로 이루어지지 않기 때문에 활동에 필요한 에너지가 제때에 만들어지지 못하므로 극도로 피곤한 상태에 빠지게 된다.그 외에도 당뇨 성 산경장애, 망막증, 동맥경화를 유발하여 뇌졸중이나 심장병까지도 유발 할 수 있는 것이 당뇨병이다.당뇨병은 합병증이 와서 심각한 상황에 이르기 전까지는 환자 스스로 특별한 증상을 느끼지 못하는 경우가 많은데, 이렇게 방치해둘 경우 신체에 치명적인 손상을 입히는 것은 물론이고 심각한 합병증을 일으켜 목숨까지 앗아가는 경우가 적지 않다.따라서 아무리 사소한 당뇨증세라 하더라도 전문의를 찾아 꾸준한 치료를 계속 하며 환자 스스로도 관리하는 것이 필요하다.또 당뇨는 유전적 요인도 강하게 작용하는 것으로 알려져 있어 더욱 세심한 주의가 요구된다. 통계에 따르면 부모 가운데 한 사람이 당뇨에 걸리면 2세가 당뇨에 걸릴 확률이 25%, 부모 모두에게 당뇨가 있으면 2세가 당뇨에 걸릴 확률은 50%나 되는 것으로 나타났다.당뇨의 원인으로는 선천적으로 인슐린의 분비 능력이 떨어지는 경우와 인슐린이 정상적으로 분비 되어도 비만이다 운동부족, 미네랄 결핍 등에 의해 혈당치가 높아지는 경우가 있다.▷ 작용 기전당뇨병의 치료를 위해서는 혈액이 혈당량을 조절하여 신진대사를 원활하도록 도와야 하는데, 혈액의 혈당량을 조절하기 위해서는 췌장의 베타세포에서 인슐린이 정상적으로 분비되고 또한 그 인슐린이 세포에 정상적으로 적용해야한다.핵산은 신진대사를 활발하게 하고 손상된 유전자를 회복시킨다. 핵산은 DNA 유전자 정보를 통해 RNA가 단백질을 합성하여 세포의 증진대사를 원활하게 해주어 손상되고 비정상적인 세포를 정상세포로 교체해준다.또한 핵산은 조직과 세포의 활성화로 노화를 예방하고 신진 대사 량을 높여 에너지를 공급하여 주므로 세포에 원기를 주어 혈당량을 조절한다. 따라서 핵산은 손상된 췌장 조직의 기능 회복에 도움이 되며 이는 인슐린의 정상적인 분비로 이어진다 ---------------------------------서울대학교 논문발췌-------------------------------  당뇨합병증은 식이요법이 중요합니다.특히 망가진 췌장조직을 얼마나 빨리 회복하느냐가 당뇨치료의 관건입니다.  음식을 드실때 췌장조직을 회복할 수 있는 음식 위주로 드세요. 특히 핵산이 풍부한 음식 등을 통해서 충분한 핵산을 섭취하실때 췌장조직이 회복되어혈당 및 인슐린 분비가 정상적으로 이루어지는데 도움이 될것입니다. 짜고 달고 맵고 자극적인 음식은 피하세요  (영양제로 드시려면 핵산이 주성분인 핵산영양제 같은거 드시는게 좋습니다.)    * 당뇨합병증은 올바른 식생활 및 생활습관을 개선하실때 회복할 수 있습니다."
"의대 진학 관련 질문드립니다.현재 외고 재학 중인 고3 학생입니다.중학교 때까지 과학, 특히 생명과학을 매우 좋아해서 이과로 가고 싶었으나 대입만 보고 전략상으로 외고를 온 케이스입니다.그러다 문득 의학을 배우고 싶다는 생각이 들어서,, 일단 국내 의대 진학은 현실적으로 불가능하니까 영국에 있는 킹스 칼리지에 의대를 진학하려고 합니다.문제는 영국에서 나오는 의사 라이센스가 한국에서는 적용되지 않는다는 사실을 들은 적이 있어서요.그러면 영국 의대 졸업장을 가지고도 국내에서 병원을 차리거나 병원에서 의사직을 수행할 수 없다는 건데, 이런 경우 어떤 루트로 국내 의사가 되나요?어떤 경로로 국내 의사가 될 수 있을지 조언 부탁드립니다. ㅜㅜ","가락동 60대 중반/남 간암요양병원 간암수술 후에 요양병원 가는게 도움이 될까요? 어떤치료들을 하면서 좋은건지 알려주세요 안녕하세요, 닥톡-네이버 지식iN 상담의사...","국내에서도 의사 될 수 있어요..저는 생명과학과 출신으로 제 자신은 아니지만, 동기중에 MEET를 졸업하면서 따서대학교병원에 들어 간 케이스가있습니다.다만, 학점, 어학,논술,MEET 전부 다 완벽한 조건이어야합니다.대학교가시면 교수님 추천서로 도움을 조금 더 받을 수 있습니다."
내공) 인간 안락사에 대해 반대 주장!! 급함 ㅠㅜㅠ,"중2 국어 수행평가로 <인간의 안락사에 대해 반대>를 주제로 삼았는데요,1000자 이상 써야되는데 서론 본론 결론, 그리고 안락사를 반대하는 근거 3가지 이상 알려주세요...1000자 이상 글 써주시면 더 좋고요!! 내공 드리겠음,, 급ㅎㅐ요ㅜㅜㅠㅠ 이상한 글 올리면 신고할거임","안락사 반대 입론저는 안락사 인정을 반대합니다. 많은 사람들이, 안락사 인정을 찬성하고, 작년에도 법원에서 처음으로 존엄사를 인정하는 일이 발생했습니다. 그러나 , 환자의 고통을 해방 시켜 준다며 안락사 하는 것이 과연 행복을 위한 것일까요? 몇 가지의 이유들로, 저는 안락사에 대해 반대합니다.먼저, 제가 안락사를 반대하는 첫 번째 이유는, 환자 본인의 의사가 명확하지 않을 때, 안락사가 살인으로 이어질 수 있다는 점입니다. 환자가 만약, 뇌사나 식물인간 상태라고 한다면, 환자 본인의 안락사 의사를 알 수 없습니다. 환자가 살려고 하는지, 죽고 싶어 하는지, 그건 환자 이외에는 누구도 모른다는 것입니다. 그런데, 이런 상태에서 가족이 찬성한다고 해서, 환자에게 안락사를 한다면, 목적이 어떠한 이유라고 해도, 그것은 명백한 살인 행위라고 볼 수 있습니다. 살인은 인간이 해서는 안 될 가장 첫 번째 행위입니다. 그런데, 환자에게서 고통을 없애 준다는 이유로, 살인을 한다면, 인간의 생명 존엄성에 대한 중대한 도전이 아니겠습니까? 이런 이유 때문에, 안락사는 도덕적으로 잘못되었다는 것입니다.두 번째로, 환자에게 안락사를 하는 의사의 입장이 매우 곤란해진다는 것입니다. 먼저, 앞에서 말했듯이, 안락사는 살인 행위라 볼 수 있습니다. 따라서 , 환자에게 안락사를 할 때의 의사는, 사형수를 사형시키는 사형 집행인이나 똑같습니다. 미친 살인마가 아니라면, 이런 사형 집행인이나 똑같은 짓은, 누구라도 죄책감을 가지고, 그 점을 마음에 담아둬, 많은 부담을 가질 것입니다. 의사가 생명을 다루는 직업 이다보니, 의사 자신도 생명의 존엄성에 대한 엄중한 생각을 가지고 있을 텐데, 그 입장이 얼마나 곤란한지 이해가 가십니까? 그럼에도 불구하고, 그런 입장을 무시하고, 안락사를 해달라고 재촉하는, 환자의 가족들을 보면 확실히 그 점이 이기적이라고 저는 생각합니다.마지막으로, ‘안락사’는 많은 사회적 문제를 초래할 수 있습니다. 먼저, 안락사가 허용되어 안락사의 횟수가 늘어난다면, 사람들은 ‘생명’이라는 존엄한 점을 가볍게 보고, 점점 더 생명의 가치가 줄어드는, 생명 경시 풍조가 생겨나게 될 것입니다. 생명의 가치가 가벼워진다면, 사람들은 자살, 낙태, 살인 등의 생명에 관련된 행동을 아무렇지도 않게 행할 수도 있습니다. 또한 안락사가 허용된다면, 안락사가 오남용 되어 치밀한 범죄가 일어날 것입니다. 안락사를 근거로 들어, 합법적인 점을 내세워 치밀한 범죄를 할 수도 있다는 것입니다.‘나는 환자의 요구가 있다 할지라도 죽음에 이르게 하는 약을 처방하지 않을 것이다. 이것을 제안하지도 않을 것이다.’ 라는 히포크라테스 선서에서도 볼 수 있듯이, 안락사는 절대로 해서는 안 되는 의료 방법입니다. 이렇듯, 저는 여러 가지 근거를 두어, 안락사를 반대합니다"
내공) 인간 안락사에 대해 반대 주장!! 급함 ㅠㅜㅠ,"중2 국어 수행평가로 <인간의 안락사에 대해 반대>를 주제로 삼았는데요,1000자 이상 써야되는데 서론 본론 결론, 그리고 안락사를 반대하는 근거 3가지 이상 알려주세요...1000자 이상 글 써주시면 더 좋고요!! 내공 드리겠음,, 급ㅎㅐ요ㅜㅜㅠㅠ 이상한 글 올리면 신고할거임","저는 안락사가 허용되는 것에 반대합니다. 안락사 제도는 자칫하면 생명경시 풍조를 불러올 수 있습니다. 그러한 우려를 불식할 만한 반대급부의 장치가 포함되지 않는다면 이는 절대로 허용되어서는 안 될 것입니다. 또한, 경제적 문제 등 외부의 판단만으로 생명의 문제를 가늠할 수는 없습니다. 가족의 증언이나 판단, 의료진의 동의로 중단된 연명치료는 환자 본인의 실제 의사와 다를 수 있습니다. 법적 해결책으로 찬성측이 제안하는 병원 윤리위원회 등 판단 기구 역시 병원의 이해관계에 치우칠 수밖에 없어 전적으로 맡기기에는 법적, 제도적 장치가 미비합니다. 결국 준비되지 않은 안락사의 허용은 사회적 약자의 손쉬운 처리방법으로 악용될 소지가 충분합니다.안락하게 죽는다는 것, 바로 안락사의 정의입니다. 제가 생각하기로는 이 말이 굉장히 모순되는 말이라고 생각됩니다. 세상의 어떤 사람이 과연 안락하게 죽을 수 있겠습니까? 찬성측에서 죽음을 통해 그나마 마음의 평화를 이룰 수 있다고 하셨습니다만 끊임없는 고통의 끝은 행복이 아니라, 그저 말 그대로 끝일뿐이지 더 이상의 감정은 없습니다. 고통의 끝은 행복이 아닙니다. 또한, 의료인은 환자를 살리려고 하는 직업이지, 환자를 죽이는 직업이 아닙니다. 안락사를 행하는 의사의 권리도 생각해 주셨으면 합니다. 자신이 이제껏 치료해오던 환자를 자신의 손으로 죽인다니요? 얼마나 큰 죄책감에 시달리고 괴로워할지 생각해 보셨습니까? 의사 역시 행복을 추구할 권리가 있다고 생각합니다. 그리고 의료윤리측에서 보면 환자의 자율적 선택을 가장 존중해야 하고 그들의 상태를 투명하게 알려주어야 합니다. 생각해 보십시오. 자신이 불치병에 걸렸다는 진단을 받을 때, 또 자신의 가족이 더 이상 치료가 무의미하다는 진단을 받았을 때 그 충격은 이루 말할 수 없을 것입니다. 이 상황에서 안락사란 소리 없는 강요이지 않겠습니까? 마지막으로, 경제적 부담에 대한 이야기를 하셨는데 그렇다면 경제적 부담감 때문에 인간인 환자를 죽여야 한다는 것입니까? 찬성 측에서 나올 수 있는 현실적 발언이기도 하지만, 굉장히 비윤리적인 발언이기도 한 것 같다는 생각입니다.참고하세요"
아버지가 밤에 갑자기 호흡곤란증상을 보이셨는데요...,한밤중에 아버지가 주무시다가 갑자기 호흡곤란증상을 보이셨는데..병원에 가자고 아무리 말씀을 드려도 병원에 가시려고 하지 않으세요.달리 편찬으신 곳이 없으시데 갑자기 호흡곤란증세를 보이셨어 그저 발만 동동거리다가..지금은 조금 편안하게 호흡을 하시기는 하시지만 말씀하시기도 힘들어하시고...여전히 불편하고 어렵게 호흡을 하세요.병원에 가서 검사를 해봤으면 좋겠는데... 절대 병원에는 안가겠다고 하시네요.갑자기 호흡곤란 증세를 보이는 병이 어떤 병이 있을까요?호흡곤란증세를 보이시면 응급처치 방법이 무엇이 있을까요?그리고 어떻게 말씀을 드려야 병원에 가시도록 마음을 돌릴수있을까요?급한데로 도움이 되는 답변을 부탁드립니다.,호흡곤란은 여러가지 원인이 있을수있습니다.나이가 어느정도이신지는 모르지만 아직까지도 불편하신다면 큰 병원에 가셔서 검사를 받아보시는게 좋습니다.작은병을 크게 키우면 나중에 더 고생하십니다.
