제목,질문,답변,https://kin.naver.com/search/list.nhn?query=어느+병원+-동물+-성형+-강아지+-피부과+-개인회생+-인테리어+-진로+-커리큘럼+-자동차+-도서+-보험+-교통+-차+-간호학과+-학과&sort=date&period=2019.11.02.|2019.11.06.&section=kin&page=1
생인발? 내성발톱? 뻔떡하면 수술?,제가 얼마전 발톱 깎았는데 좀 짧게 깎아서 지금은 만지면 약간 통증밖엔 없거든요.. 근데 이거 보니까 막 수술해야한다 그러고 첨 알았어요. 이거 자연적으로 낫는방법없나요? 수술보니 마취가 그렇게 아프다고 해서 안할려고하는데 제 상태는 어느정도인가요? 심하진 않은거 같은데 의사선생님들만 답변 부탁드려요.,"내성발톱은 꾸준히 관리를 해줘야하는데,요즘에는 내성발톱 전문 네일샵도 많아요!병원보다는 저는 네일샵을 추천드릴께요​"
하지정맥 류,"안녕하세요  올해 40대초반 남성입니다.올 7월경 양쪽다리가 저렸고 증상이 하지정맥류와 비슷했습니다.초음파검사 후 하지정맥류가 의심된다고 주사 경화요법을 하자고 하더라구여 그래서 양쪽 다리 1%, 3% 혈관 경화주사 경화요법을 하였습니다.그러나 저림증은 나아지질 않았고 수원에 잘본다는 하지정맥류 병원을 내원하여 초음파 검사를 다시하였습니다.놀랍게도 하지정맥류가 아니랍니다.어쩐지 처음간 병원에서 자꾸 질문하면 하지불안 증후군을 한번 알아봐라 부터 ... 병원 상술에 넘어간거죠... 문제는 하지정맥류가 아닌 상황에서 주사 경화요법을 하였는데 문제 없을까요 ??? 솔직히 이부분이 제일 걸립니다. 정상적인 정맥을 그 의사가 경화시켜서 제기능을 못하게 한거잖습니까? 꼭좀 답변좀 부탁드립니다.","안녕하세요. 흉부외과 전문의 / 의학박사 반동규 원장 입니다.​하지정맥류가 아니더라도 비춰 보이거나 튀어 나와 보이는 혈관이 보기 싫어서 "" 미용상의 목적 "" 에서 시술을 받는 경우도 있습니다.​이는 동맥과 달리 정맥은 "" 병렬구조 "" 로, 어느 구간이 없어지거나 막히더라도 - 다른 주변 정맥으로 순환이 가능하기 때문입니다.​따라서 하지정맥류가 아니었던 정상 혈관이라 할지라도, 문제가 될 것은 없습니다.​다만 말씀하신 1, 3% 라는 것은 약물의 원액 비중으로 뜻하는 것으로 1% 원액도 매우 강력한 성분이 됩니다.​치료 대상이 되는 혈관에 비해 필요 이상으로 강력한 성분의 약제를 사용시에는 "" 혈관염 "" 이 발생할 가능성도 높아지는 만큼, 추후 경과 관찰은 꼭 받으시길 바랍니다.​​​​​​​"
권연침벌 맞을까요?,이사오고부터 계속 이 개미가 보여서 여러종류의 약도 써보고 난리를 피웠는데 죽어서 보이는것도 있지만 이렇게 살아서 보이는것도 많은데 혹시 권연침벌 맞을까요?그리고 물려서 애기 다리가 이렇게까지 부을 수 있는지...병원을 간다면 어느 병원으로 가야될까요ㅠㅠ,권연침벌은 아닌거 같습니다~~너무 많이 부으셨네요..지금은 늦어서 응급실로 가셔야 겠습니다개미 퇴치 방법을 아시려면이곳에 1:1질문을 하시면 퇴치방법을 상세하게 알려주실겁니다https://m.kin.naver.com/profile/index.nhn?u=olRVJwJcdOqyv%2FcOscGvuVqpF0jatKq%2FmRUuMXOA8cs%3D
악몽인지 좋은 꿈인지 걱정인데요.....,안녕하세요! 제가 오늘 꾼 꿈은 너무 무서웠기에..궁금해서요..일어나서도 너무 무서웠구 조금이라도 무서운 느낌이 몸에서 느껴져서요... 어느 한 곳에 무덤이 아주 넓게 파헤쳐있었서요. 구멍이 아주 컸어요. 거기 안에 시체가 있었는데. 해골이였어요. 사람모양의 해골 뼈만 남아있었던.. 너무 무서웠죠. 저는 어둡고 무서웠는데 제가 그 무덤을 똑바로 계속 쳐다보고 있었어요. 너무 어두웠고 무서운 곳이였어요...그리고 어느 장소인지 모르지만. 학교 교실 같은 곳에 사람들이 많았고 친구처럼 대했는데 저를 아는 사람도 있었어요. 남자도 있고 여자도 있고 친했어요. 무덤을 그렇게 똑바로 쳐다보니. 정말 제가 거기에 있는 듯 했어요. 어두운곳에 혼자서 바라보고 있었으니.. 쫌 걱정이되어서요.. 꿈에서 무덤이 나오고 깨끗하게 파헤쳐 있구. 저는 그 큰 무덤을 계속 쳐다보고있엇어요. 꿈 꾸고있는데도.. 몸에서 느낄정도로 무서웠어요.. 이 꿈.. 괜찮은걸까요? 앞으로 어떻게 될지 걱정이네요..ㅠㅠ,"집안에 우환이 들끓거나 상을 당하게 된다. 질병, 교통사고, 변사 등의 불운이 생긴다.​"
악몽인지 좋은 꿈인지 걱정인데요.....,안녕하세요! 제가 오늘 꾼 꿈은 너무 무서웠기에..궁금해서요..일어나서도 너무 무서웠구 조금이라도 무서운 느낌이 몸에서 느껴져서요... 어느 한 곳에 무덤이 아주 넓게 파헤쳐있었서요. 구멍이 아주 컸어요. 거기 안에 시체가 있었는데. 해골이였어요. 사람모양의 해골 뼈만 남아있었던.. 너무 무서웠죠. 저는 어둡고 무서웠는데 제가 그 무덤을 똑바로 계속 쳐다보고 있었어요. 너무 어두웠고 무서운 곳이였어요...그리고 어느 장소인지 모르지만. 학교 교실 같은 곳에 사람들이 많았고 친구처럼 대했는데 저를 아는 사람도 있었어요. 남자도 있고 여자도 있고 친했어요. 무덤을 그렇게 똑바로 쳐다보니. 정말 제가 거기에 있는 듯 했어요. 어두운곳에 혼자서 바라보고 있었으니.. 쫌 걱정이되어서요.. 꿈에서 무덤이 나오고 깨끗하게 파헤쳐 있구. 저는 그 큰 무덤을 계속 쳐다보고있엇어요. 꿈 꾸고있는데도.. 몸에서 느낄정도로 무서웠어요.. 이 꿈.. 괜찮은걸까요? 앞으로 어떻게 될지 걱정이네요..ㅠㅠ,안녕하세요 ^-^★빠르고 정확한 꿈소식 꿈의병원입니다​☞악몽을 꾸는 이유는님이 죄를 짓고 있기 때문입니다님은 신을 믿고 선행을 하며성결히 살아야 할 운명입니다그러니 게임 야동 음주 흡연 욕설 무신론 등을 조심하시옵소서​====[꿈이란]====​하늘은 송신기요사람은 수신기니꿈을 주는 신이 계십니다​꿈을 통해 내 양심과 영혼이 ○좋은 쪽으로 가고 있는지●나쁜 쪽으로 가고 있는지를 알아내는게 가장 큰 수확입니다​​이젠 꿈으로 재물운이나 애정운을보려는 습관을 버리시고꿈으로 내 영혼을 관리하여아름다운 사후세계를 가고자노력해 보세요​​꿈은 신의 달콤하고 조용한 훈계입니다========================
6살난 아들이 많이 아픕니다.,"먼저, 지금도 병마와 싸우는 이땅의 모든 어린이들에게 경의를 표하며 꿈과 희망을 잃지 않기를 바랍니다. 제 아들은 지난 8월경 고열이 시작되어 동네소아병원 및 대전의 c대학병원, 최근 서울의 s대학병원 까지 고열 및 미열 증상이 반복되어 입원후 각종 검사 및 치료를 받았습니다. 최종진단은 원인 불명의 열, 뇌염증상 입니다. 현재 상태는 밤에 잠잘때는 열이 내려 정상 이지만 깨어 있어 활동 할때는 열이 올라 미열 또는 38도 이상 올라가기도 합니다. 어지럽다고 똑바로 잘 서있지도 잘 걷지도 못 하여 수시로 토를 하기도 합니다. 가장 궁금하고 걱정되는건 이러다 큰병이 되는건 아닌지 도대체 어떤 원인으로 인해 이런 증상이 수개월째 반복되는건지 입니다. 대학병원에서도 드문 케이스라하고 정확한 원인을 모르니 제대로 치료가 안되는 상황이고... 답답하기만 합니다. 혹시 비슷한 사례를 겪으셨거나 치유가 되신경우, 원인은 무엇인지, 어느병원 에서 치료받으셨는지, 양방이든 한방이든 어떤 방법이든 알려주시면 고맙겠습니다. 긴글 끝까지 읽어주셔서 감사드리며 추가 내공 1,000 드립니다.","인체에 발병하는 거의 모든 질병들은 인체의 건강한 몸을 지키는 면역력과 깊은 관계가 있습니다.cbc 혈액검사와 함께 cd3, cd4, cd8, cd19의 면역검사를 받아보면 면역수치가 낮은게 확인될 것입니다.검사받은 수치들을 댓글에 적어주세요.혈액검사받은 수치들을 알고있으면 댓글에 우선 적어주세요."
6살난 아들이 많이 아픕니다.,"먼저, 지금도 병마와 싸우는 이땅의 모든 어린이들에게 경의를 표하며 꿈과 희망을 잃지 않기를 바랍니다. 제 아들은 지난 8월경 고열이 시작되어 동네소아병원 및 대전의 c대학병원, 최근 서울의 s대학병원 까지 고열 및 미열 증상이 반복되어 입원후 각종 검사 및 치료를 받았습니다. 최종진단은 원인 불명의 열, 뇌염증상 입니다. 현재 상태는 밤에 잠잘때는 열이 내려 정상 이지만 깨어 있어 활동 할때는 열이 올라 미열 또는 38도 이상 올라가기도 합니다. 어지럽다고 똑바로 잘 서있지도 잘 걷지도 못 하여 수시로 토를 하기도 합니다. 가장 궁금하고 걱정되는건 이러다 큰병이 되는건 아닌지 도대체 어떤 원인으로 인해 이런 증상이 수개월째 반복되는건지 입니다. 대학병원에서도 드문 케이스라하고 정확한 원인을 모르니 제대로 치료가 안되는 상황이고... 답답하기만 합니다. 혹시 비슷한 사례를 겪으셨거나 치유가 되신경우, 원인은 무엇인지, 어느병원 에서 치료받으셨는지, 양방이든 한방이든 어떤 방법이든 알려주시면 고맙겠습니다. 긴글 끝까지 읽어주셔서 감사드리며 추가 내공 1,000 드립니다.","미신이라 근거가 없긴하지만 무당을 찾아 가보시는건 어떨런지요..저도 미신은 잘안 믿는데 신병이나 뭐.. 가끔은 과학에 근거하지 않더라도 초자연적인 현상도 있으니까요..유튜브나 구글, 인터넷 매체에서 간혹 저런경우는 신병이라고 하네요..굿하고 나니까 괜찮아졌다는 후기도 있고.. 흠.. 너무 맹신하는건 좋지 않지만병원에서도 답이 없다면.. 음.."
6살난 아들이 많이 아픕니다.,"먼저, 지금도 병마와 싸우는 이땅의 모든 어린이들에게 경의를 표하며 꿈과 희망을 잃지 않기를 바랍니다. 제 아들은 지난 8월경 고열이 시작되어 동네소아병원 및 대전의 c대학병원, 최근 서울의 s대학병원 까지 고열 및 미열 증상이 반복되어 입원후 각종 검사 및 치료를 받았습니다. 최종진단은 원인 불명의 열, 뇌염증상 입니다. 현재 상태는 밤에 잠잘때는 열이 내려 정상 이지만 깨어 있어 활동 할때는 열이 올라 미열 또는 38도 이상 올라가기도 합니다. 어지럽다고 똑바로 잘 서있지도 잘 걷지도 못 하여 수시로 토를 하기도 합니다. 가장 궁금하고 걱정되는건 이러다 큰병이 되는건 아닌지 도대체 어떤 원인으로 인해 이런 증상이 수개월째 반복되는건지 입니다. 대학병원에서도 드문 케이스라하고 정확한 원인을 모르니 제대로 치료가 안되는 상황이고... 답답하기만 합니다. 혹시 비슷한 사례를 겪으셨거나 치유가 되신경우, 원인은 무엇인지, 어느병원 에서 치료받으셨는지, 양방이든 한방이든 어떤 방법이든 알려주시면 고맙겠습니다. 긴글 끝까지 읽어주셔서 감사드리며 추가 내공 1,000 드립니다.",아이가 많이 아파서 속상하고 힘드시겠지만 분명 방법은 있을것입니다~ㅠㅠ아무튼 힘내시고 화이팅이에요~ 정말 어떤 말로도 위로가 안되시겠지만 그래도 위로해드리고 싶네요~아이도 하루빨리 해결되길 바라며 이럴때일수록 몸건강 잘챙기시고 하셔야 아이도 빨리 낫지요힘내세요~^^;
6살난 아들이 많이 아픕니다.,"먼저, 지금도 병마와 싸우는 이땅의 모든 어린이들에게 경의를 표하며 꿈과 희망을 잃지 않기를 바랍니다. 제 아들은 지난 8월경 고열이 시작되어 동네소아병원 및 대전의 c대학병원, 최근 서울의 s대학병원 까지 고열 및 미열 증상이 반복되어 입원후 각종 검사 및 치료를 받았습니다. 최종진단은 원인 불명의 열, 뇌염증상 입니다. 현재 상태는 밤에 잠잘때는 열이 내려 정상 이지만 깨어 있어 활동 할때는 열이 올라 미열 또는 38도 이상 올라가기도 합니다. 어지럽다고 똑바로 잘 서있지도 잘 걷지도 못 하여 수시로 토를 하기도 합니다. 가장 궁금하고 걱정되는건 이러다 큰병이 되는건 아닌지 도대체 어떤 원인으로 인해 이런 증상이 수개월째 반복되는건지 입니다. 대학병원에서도 드문 케이스라하고 정확한 원인을 모르니 제대로 치료가 안되는 상황이고... 답답하기만 합니다. 혹시 비슷한 사례를 겪으셨거나 치유가 되신경우, 원인은 무엇인지, 어느병원 에서 치료받으셨는지, 양방이든 한방이든 어떤 방법이든 알려주시면 고맙겠습니다. 긴글 끝까지 읽어주셔서 감사드리며 추가 내공 1,000 드립니다.",아기가 아파서 걱정이 많으실 것 같습니다.  .근래 어디 다녀오거나 뭐에 물린건 없는지  한번 살펴보시고 한의원이나 다른 곳도 한 번 가셔서 다방면으로 진료를 받아보시는게 어떨까요?원인을 모를 때 정말 하늘이 무너지고 답답하지요.. 힘내시기바랍니다.
6살난 아들이 많이 아픕니다.,"먼저, 지금도 병마와 싸우는 이땅의 모든 어린이들에게 경의를 표하며 꿈과 희망을 잃지 않기를 바랍니다. 제 아들은 지난 8월경 고열이 시작되어 동네소아병원 및 대전의 c대학병원, 최근 서울의 s대학병원 까지 고열 및 미열 증상이 반복되어 입원후 각종 검사 및 치료를 받았습니다. 최종진단은 원인 불명의 열, 뇌염증상 입니다. 현재 상태는 밤에 잠잘때는 열이 내려 정상 이지만 깨어 있어 활동 할때는 열이 올라 미열 또는 38도 이상 올라가기도 합니다. 어지럽다고 똑바로 잘 서있지도 잘 걷지도 못 하여 수시로 토를 하기도 합니다. 가장 궁금하고 걱정되는건 이러다 큰병이 되는건 아닌지 도대체 어떤 원인으로 인해 이런 증상이 수개월째 반복되는건지 입니다. 대학병원에서도 드문 케이스라하고 정확한 원인을 모르니 제대로 치료가 안되는 상황이고... 답답하기만 합니다. 혹시 비슷한 사례를 겪으셨거나 치유가 되신경우, 원인은 무엇인지, 어느병원 에서 치료받으셨는지, 양방이든 한방이든 어떤 방법이든 알려주시면 고맙겠습니다. 긴글 끝까지 읽어주셔서 감사드리며 추가 내공 1,000 드립니다.","걱정 많으시겠습니다.뭐든지 원인이 있습니다.대학벙원 중환자실에서 격리조치.장기 급속 괴사로 손도 못쓰고, 목에 호수꼽고, 피검사 뱎에 못하는 거. 포기상태였습니다.그런 친구 '기도 기운수기'라고 하는 치유술로 회복하여 회사 복직하고요즘은 술도 마시고 축구도 합니다.죽어가는 자식 살려보려고 미쳐서 헤메다가훗날에 배운 선도의 비전하는 치유술입니다.정확한 기운 상태를 읽습니다.기운수기와 환약(한의원을 출시)이면 되리라고 생각되어 집니다.먼저 살펴봐 드리겠읍니다.010붙여서 전화하시면 됩니다.불치병이라고하는 치매, 자폐 그런 것도 길이 있습니다.​"
한쪽 다리가 저려요.,저는 운동을 좋아하는 30대 여자구요.발목이 좋지 않아서 과한 하체 운동은 하지 않고 헬스장에서 사이클 1-2시간 정도 타고 거의 상체운동 위주로 합니다.그리고 일주일에 한번씩 왼쪽 발목 인대 충격파 치료를 합니다. 근데 요즘 사이클 탈때 계속 왼쪽 발 전체가 저린 느낌이 들어요.잘때도 왼쪽 다리가 저려서 깨는 날이 몇번 있었구요.요근래 들어서 허리가 약간 삐끗하기 직전의 통증이라고 해야되나 그런 통증이 있는데..어느 병원을 가야 할까요?허리의 문제인지 아니면 혈액 순환 하지정맥류인지..첨엔 그러려니 했는데 며칠 계속 그러니걱정이 되네요.혹시 충격파 치료때문에 그런건 아닐까요?,"자가치료. - 체질저하 면역력약화, 혈액순환장애, 근육,관절에 체내통증균이 몰려서,~ / {큰돈 부담없는 자가치료 안내} 해결(근육,관절 석회화,통증치유).  관절통완화 + 관절액보충 = 금지음식20종(악성균)+권장음식7종(유익균)+복차 혈액순환영양제(네이버검색),- 1주 호전시작, 1달 체질안정 자가치료 성공. => 체내에서 만들어진 면역살균제가 체내악성균(물혹,근종,낭종,암,출혈,통증) 살균,멸균 + 체내유익균 증식 + 전신 새살재생, 자연완치. = 무릅통증,어깨통증,골반통증,허리통증 자가치료성공, 건강회복 정상생활."
"8월24일날도 똑같은 상황 때문에 25일날사후 피임약을 처방 받아 복용 하였습니다.약을 복용하고 18일이 지난 9월 12일날생리를 하였고 10월달은 생리를 하지 않았습니다.그리고 이번 관계는 11월2일날 새벽 3시 좀 넘어서관계를 했는데 하기 전에 콘돔을 꼈어요.그때 서로 술을 마신 상태이기도 했고,남자가 엄청 오랜만에 관계를 하는거였어요.상대방은 사정을 안 했다고 했는데사정할 때 꿈틀 거리는 느낌이 분명 있었고결국 빼고 확인해 보니까 콘돔이 터지진 않았는데남자 성기 주변에 정액이 묻어 있었습니다.저의 질 주변에도 묻어 있었어요.제 애액인가 했는데 정액 냄새가 너무 강했어요.질 안에 손가락을 넣었다 빼서 냄새를 확인 했더니그것 마저도 확실히 정액 냄새였어요.너무 걱정 되어서 다음날 아침 10시 반 넘어서병원에 가 사후 피임약을 처방 받아11시 반쯤 약을 복용했습니다2주 뒤에 임테기 확인 해보려고 하는데혹시라도 임신 가능성이 어느정도 될까요ㅠㅠ?","... 울화병이 있을 땐 어느 병원을 가야하나요? 안녕하세요, 닥톡-네이버 지식iN 상담한의사 김하나입니다. 현재 울화가 치밀고 화병이 일어나는데 어느 병원을 가서 진료를...",네 임신 가능성있어요
치아가 흔들리고 아픕니다.,운동을 하다가 턱을 어깨에 부딪혀 영구치인 앞니 하나가 건드리면 심하게 흔들리고 음식물을 아예 씹지 못 할 정도로 아픕니다. 병원에 갔더니 치아 진탕이라고 해서 증상에 대해 검색을 해봤더니 흔들리지는 않는다고 합니다. 2주면 낫는다고 하는데 많이 불안해서 그럽니다. 진탕 맞나요? 부딪혔을때 출혈도 어느정도 발생했습니다. 큰 병원에 가보는게 나을까요?,"앞니 치아 진탕이 온 경우에는 그대로 좋아지는 경우도 있지만,서서히 치아가 변색되는 경우도 있습니다.심한 경우에는 신경치료하고 씌우기도 해야 합니다. ​되도록이면, 다른 치아와 부목(splint)을 대어서 치아에 가해지는 위해한 힘을 분산시키는 것이 좋을 것 같습니다. ​​(임플란트가격)이 궁금하시면?             [분당치과] 수면치료 -연세화이트산타치과의원 통증 걱정없는 수면치료,수면임플란트,원데이치료,급속교정 넓은 진료공간,편안한 치료, 꼼꼼한 사후관리, 자체기공실, 서현역 3번출구 AK프라자 6번게이트 수요일 야간진료 상담전화 1811-0806 분당치과 서현역치과 판교치과 white-santa.com           (앞니임플란트) 과정은 어떻게 진행되나요?               ​"
치아가 흔들리고 아픕니다.,운동을 하다가 턱을 어깨에 부딪혀 영구치인 앞니 하나가 건드리면 심하게 흔들리고 음식물을 아예 씹지 못 할 정도로 아픕니다. 병원에 갔더니 치아 진탕이라고 해서 증상에 대해 검색을 해봤더니 흔들리지는 않는다고 합니다. 2주면 낫는다고 하는데 많이 불안해서 그럽니다. 진탕 맞나요? 부딪혔을때 출혈도 어느정도 발생했습니다. 큰 병원에 가보는게 나을까요?,"치아 치료를 생각중이시군요치과에 가서 치료를 하실거라면 치아보험도 고려해보시는게유리합니다​일단 치아보험은 다이렉트 상품으로 가입하시면 더 저렴한데요,온라인으로 보험 가입이 진행되기 때문에 그렇지만 설계사가 없어서그게 또 단점이기도 해요. 자세한 상담을 받을 수 없어서 치아보험에 자세히 모르고 가입하면진짜 나한테 필요한 보험이 아닌걸 가입하게 되기도 해서요.​안그러려면 충분히 정보를 많이 알아보시고나서 가입하는게 중요할텐데사실 보험마다 특성이 다르고 종류도 너무 많아서 다 일일이 비교한다는게 쉽진 않잖아요.​보험관련해서 잘 안다 느껴도 새로운 상품도 계속 나오고 하니..이럴때 진짜 도움돼요.전문상담사가 있어서 일대일로 상담받을 수도 있어서 혼자 알아보고 결정하는것보다 훨씬 전문적으로 비교해볼 수도 있구요.​보장률이 높은 상품인지도 한번에 비교해 봐야 하는데한번에 쉽게 비교할 수 있고, 비갱신형인지 만기는 언젠지 납입기간 등 이런것들도 한번에 볼 수 있다는거는 시간대비 효율적으로 알아볼 수 있는 거죠.​또 만약 우선적으로 비용이 많이 나가지 않는 치아보험이면서도 보장은 잘 되는 치아보험을 가입하길 바란다면 순수보장형,아님 나중에 환급을 바란다. 그럼 만기환급형으로 보시는게 좋아요.그러고나서 진단금이나 특약, 보장내용, 납입보험료를 보험사별로 비교하면 좋으니 이것도 참고하심 좋으실 거에요.​저렴한 치아보험이라고 덜컥 가입했다가 보장을 제대로 못받는 경우에는 정말 이도저도 못하고 치아도 아픈데 들어놓은 보험혜택도 적으면 안되잖아요.그래서 요즘은 보험사를 모두 비교하고 직접 약정을 확인하고가입하는 사람들이 정말 많아지고 있고,도움이 많이 되고 있어요.​보험에 대해 잘 모르시는 분들이 무턱대고 가입하시고 보장을 잘 못챙겨가는 경우가 많아서 안타까울때가 많습니다. ​무료로 상담이 가능하니 현명한 보험 가입을 원하시는분들이라면 참고하시는게 좋습니다이 답변을 보시고 본인에게 꼭 맞는 치아보험을 찾는데 도움이 되셨기를 바랍니다.^^             다이렉트치아보험사이트 다이렉트치아보험사이트, 인터넷가격비교사이트, 인터넷비교견적 direct-bohum.com           ​"
"경기도 구리 65/여 다리통증, 어머님이 20년째 서서 일을 하셨다 보니 다리가 붓고, 아프고, 쥐가 난다고 하셔요.","안녕하세요, 5년 이상 다리가 불편하셔서 고생하시는 어머님의 증상에 대해 여쭙고 싶습니다. 20년째 서서 일을 하시는 직업이시라 저녁이면 다리가 많이 아프셔서 삼남매가 돌아가며 다리를 주물러 드렸습니다. 5년전 부터는 아픈 증상이 너무 심하셔서 파스가 무릎을 떠나질 않고 신발도 한 치수 큰것을 신으십니다. 병원에 모시고 가려고 해도 두려우신지 고집을 피우십니다. 최근에는 주무시다가 쥐가 나서 밤잠을 설치기까지 하십니다. 어머님께 어떻게 말씀드려야 병원에 가실지 잘 모르겠습니다. 한방에서 치료하실 수 있는 증상인지 궁금합니다 그리고 어머님께 어떻게 말씀드리면 좋을지도 말씀 부탁드립니다. (경기도 구리 60대 중반/여 다리통증)","안녕하세요, 닥톡-네이버 지식iN 상담한의사 김도환입니다. 다리가 많이 불편하신지 5년이 넘으셨다면 어머님이 정말 힘드셨겠네요. 하시는 일이 계속 서서하시는 일이면 다리에 피로가 쌓여 다른 사람들보다 더 안좋아지기 쉽습니다. 다리에 피로가 쌓이면 혈액 순환이 안되면서 붓기도 하고 아프기도 하고 쥐가 자주 나기도 해요. 어머님께서 고집을 피우시는 이유는 아마 혹시 큰병 걸려서 자식들한테 걱정을 끼칠까봐 그런신 것 같네요. 지금 말씀하신 증상은 병원에 가도 딱히 어떤 병명이 나오기는 어려울 수 있습니다. 혈액순환만 잘 안되는 상태는 검사를 해도 특별한 이상은 없다고 나오기 쉽거든요. 한의학에서는 다리로 가는 길이 막혀 있는지(경락검사), 혈액을 보충하는 장기 중 어느 것이 약해져 있는지(내장검사)를 파악하여 침으로 막힌 곳을 뚫고, 한약으로 약해진 장기를 튼튼하게 해줍니다. 꾸준히 치료받으시면 붓기도 쏙 빠지고 지긋지긋한 통증에서 해방되며 쥐날 걱정을 안하시게 되실거에요. 한의원에 내원하셔서 꼼꼼하게 진찰받고 친절한 상담도 받으시길 바랍니다. 그럼 빠른 쾌유를 빌겠습니다. 감사합니다. ※ 한의사 전문가의 예상 치료비, 할인 가능 여부 등 추가 정보가 궁금하시면 아래 출처를 통해 확인할 수 있습니다."
고지식한 엄마,고지식하신 엄마때문에 힘들어요 제가 학교문제로(고등학교) 심한 스트레스때매 스트레스성 두통까지와서 병원을 몇번 왔다갔다 했어요 누구에게 제가 얼만큼 아픈지 얘기 안했다가 엄마한테 많이 머리두통이 심하다고 얘기를 해서 그전부터 엄마와 상의해왔던 자퇴에 대해 이야기했어요 너가 그렇게 심하게 아프면 자퇴를 진지하게 다시 생각해봐라 그리고 결정하면 이야기해달라 라고 얘기하셨거든요그래서 전 결정하고 엄마가 얘기하셨던 자퇴를 얘기했더니 갑자기 화내시면서 너가 그렇게 하면 분명 망할것이고 너가 어떻게 허든 난 널방치할거다 라는 식으로 얘기하시고 사회시선 야기하시고..어휴 엄마부터가 고지식하신데 남들 얘기 하시더라구요 그럴때 보면 짜증나고 그냥 집 나가고 싶어요 설득하기도 지치고 어떻게 해야할까요 아 그리고 엄마가 저 헉교 많이 빠졌다고 ㅋㅋ거의 학교 안갔다고 그러시더라구요 전 그냥 빠진게 아니라 요즘 계속 머리가 심하게 아파서 빠진건데 ㅋㅋㅋ누가 보면 제가 그냥 학교 빠진는 얘인줄 알겠어요 제가 잘못된건 가요?엄마께 뭐라고 말씀을 드려야 고지식한 엄마생각을 바꿀수 있을까요 +또 짜증나는건 동생보고 너는 학교 열심이 다니래나 뭐래느 제 앞에서 그런 얘기하시더라구요~왜 그러시는 건지 거의 가족한테 위로가 아니라 따당하는 느낌이네요,지금. 현재 마음이 얼마나 힘들지?어느정도는 이해도 되고 공감도 됩니다.두통이 심한 이유는 왜?그런걸까요?어떤문제가 있어서인지?아니면 스트레스로.인한 신경성두통인지?​아마도.제가 생각하기로는 후자에 가까워보이는데!가장 큰 문제점은 학교에 가기싫어서 두통이.오는건 아닐까요?곰곰히 한번 생각해보세요.학교생활이 전혀 재미가 없거나~아니면 말하지못할 또다른 이유라도 있는것인지?​제가 하고싶은 말은?굳이 정식적인 교육과정을 꼭 거쳐야만 하는 법은 없습니다.하지만 당장 학교를 자퇴하고 난뒤계획하고 있는 일이나~본인이 정말 하고싶은것이 있다면?진지하게  부모님과 대화를 나눠보시는건어뗠까? 싶은데요.​부모님 입장에선 어찌보면 미리 염려되고 걱정부터앞서는 마음에 속이 상하셔서 그렇게 표현할뿐이지! 진심은 절대 그렇진 않습니다.​쪼금더 시간이 흘러나이를 먹게되면 아마도 지금에 말에의미를더 잘 이해하실꺼라 믿어요.그러니~너무 대립하려만 하지말고!많은대화를 나누다보면서로간에 알지못했던 마음을 느끼게될수있는 기회가 올수도있으니~차분하게 먼저 자퇴를 왜?하고싶은건지? 또 자퇴후 목표는 세워두었는지?그 목표가 어느정도 현실가능성이 있는것인지?등~ 혼자 신중하고 깊이있게 생각해보시고마지막으로 현명한판단하셨음 합니다.​쪼금이나마도움이 되시길 간절히 바랍니다.​
