제목,질문,답변,https://kin.naver.com/search/list.nhn?query=어느+병원+-동물+-성형+-강아지+-피부과+-개인회생+-인테리어+-진로+-커리큘럼+-자동차+-도서+-보험+-교통+-차+-간호학과+-학과&sort=date&period=2018.07.07.|2018.07.11.&section=kin&page=1
제가 정신적으로 아픈건가요?(정신건강),"제가 정신적으로 아픈건가요?안녕하세요..사실 병원에 가면 보다 더 정확하겠지만, 그래도 병원에 가는 건 역시 겁이 나서... 다른 분들의 의견을 좀 듣고 그 다음에 가고 싶어서요. 주변에 판단을 부탁하기엔 부담스럽고...반년 쯤 전부터 우울하고 무기력한 느낌이 반복적으로 있어왔습니다. 우울한 기분을 폭식으로 풀기도 여러 번. 하지만 다이어트를 해왔던 기억이 있어서, 적절한 때에 스스로를 조절해 살은 오히려 유지·2키로그램 정도가 빠진 상태입니다.(사실 2키로그램은 왔다갔다 하지요ㅎㅎ) 식욕과 음식에 대한 불안함? 이 과할 정도로 제 머릿속을 많이 차지하고... 지금도 그렇고.그러다 3월달부터 조금 호전되는 듯 싶었어요. 친구들이랑 술도 먹으러 다니고 사회생활도 하고있는 터라 괜찮은 것 같았어요. 하지만 전 몰랐는데, 이제와서 생각해보니 제가 외로워한 것도 같고... 같이 있어도 외로운 느낌이나, 하루 끝에 공허함? 같은 걸 좀 예민할 정도로 잘 느끼는 것 같아요.또 쉽게 상처를 잘 받아요. 남한텐 정말 사소한 말 한마디도 저는 그 말 듣고 죽고싶은 충동 느껴요. 무심코 식칼 같은 것에 시선이 가고 손에 쥐어보기도 하고... 그러다 결국은 겁이 나서 그만둡니다. 정말 사소한 잔소리나 말에도요 상처를 많이 받는 거 같아요.. 전 그럴때마다 제가 너무 미친거 같아서 그럴수록 더 슬퍼지고. 또 가끔 잘 때 속이 너무 답답해서 숨이 안쉬어져요. 가슴을 몇번 쳐보기도 하고 한숨도 계속 쉬고 해야 겨우 괜찮아져요.. 전에는 아 내가 우울증인가? 생각하다가도 저는 우울하면 안되는 사람이다, 내가 부족하게 자란게 뭐냐 싶어서 일부러 자기암시를 건 것 같아요. 가족들 다 힘든 거 옆에서 보이는데 난 거창하게 댈 이유도 없고 해서... 한참 심했을 땐 제 다이어리에 유서 비슷한 것도 써보고. 최근 많이 나아졌다 싶었는데, 갑자기 어느순간 눈물이 나거나 죽은 연예인들 영상·프로필을 찾아본다거나.. 그리고 또 그거 보고 울어요. 근데요, 밖에 나가서는 정말 정상인이거든요. 남들처럼 웃고 술도 마시고 그래요. 엄마 아빠랑도 현재는 사이 나름 괜찮고요. 주로 엄마 말에 상처를 많이 받긴 하지만요...(이 전엔 언니한테도 상처를 많이 받았어요) 감기처럼이라기도 뭐하지만 가끔씩 훅 하고 들어오는 것처럼 이런 우울감.충동. 그런게 와요... 약물치료가 필요한 상황일까요, 저? 그리고 많이 심각한 걸까요...?",허약자인   면역질환자 증상들인데      내분비과에서 체크해보도록   다이어트에  식습관이 엉망들이니   신체 정신 모두  병이 올수밖에
안녕하세요^^요즘 야근이 잦고 피곤해서 그런건지몸에 이상한 증상이 보이는거 같아서요ㅠㅠ어느 병원을 가야할지 모르겠어요첨부된 사진 참고해주세요ㅠㅠ1. 가운데 손가락에 습진처럼 되어있고 가운데만 부었는데 이렇게 된지 몇달 됐어요2. 빨간색 멍인지 혈관같은게 터진건지 종아리 쪽에만 군데군데 저렇게 생겼어요 3. 입안 오른쪽 위에 있는 살이라고 하나요?잇몸은 아니고 거기가 부은거 같아요 콧볼이랑 볼이랑 입으로 내려가는 그 지점을 누르면 아파요ㅠ가글 할때도 그렇구요무슨 증상인지 아시나요ㅠ?,"... 울화병이 있을 땐 어느 병원을 가야하나요? 안녕하세요, 닥톡-네이버 지식iN 상담한의사 김하나입니다. 현재 울화가 치밀고 화병이 일어나는데 어느 병원을 가서 진료를...",손의경우는 벌레물리신것같고발의 핏줄터진건 주무시거나 뭐할때 뭐에눌려서 터진것같네여 그리고 입에난건 피곤하셔서생긴겁니다..!
토요일부터 윗배가 조금 부른거같고 누워있으면 숨쉬기 힘들어요 왜 이러는걸까요,"... 울화병이 있을 땐 어느 병원을 가야하나요? 안녕하세요, 닥톡-네이버 지식iN 상담한의사 김하나입니다. 현재 울화가 치밀고 화병이 일어나는데 어느 병원을 가서 진료를...",윗배불편하다면위염등의심됩니다 큰병원 소화기내과캐어하세요 검진후 치료도움줄거네요 참고되시기바랍니다.
토요일부터 윗배가 조금 부른거같고 누워있으면 숨쉬기 힘들어요 왜 이러는걸까요,"... 울화병이 있을 땐 어느 병원을 가야하나요? 안녕하세요, 닥톡-네이버 지식iN 상담한의사 김하나입니다. 현재 울화가 치밀고 화병이 일어나는데 어느 병원을 가서 진료를...",위염같습니다.저도 지금 겪고있는데 처음에는 윗배가 너무 아파서 병원에 갔더니 위염진단을 받앗는데 어느 순간부터 숨이 안쉬어지니까 이제는 역류성식도염이라네요..ㅠ 밥먹구 눕지말고 조금씩 자주드세요.. 한꺼번에 많이 먹으면 역류성식도염 걸릴 확률 높습니다 ㅠ
저 핏줄이 너무 심한데 이거 병명이 뭔가요?의사님들 알려주세요~ 내공 드립니다!,"... 울화병이 있을 땐 어느 병원을 가야하나요? 안녕하세요, 닥톡-네이버 지식iN 상담한의사 김하나입니다. 현재 울화가 치밀고 화병이 일어나는데 어느 병원을 가서 진료를...","병원에서 일하고있습니다. 의사는 아닙니다.하지만 어느정도 파악이 가능합니다. 치료를 하진 못하지만 방법 또는 그 어떠한 것을요.그건 님이 좀 마른사람 같은데요?ㅎㅎ 저도 똑같거든요 ㅎㅎ혈관이 뚜렷한 사람들이 간혹있습니다,.마른사람에게요 ㅎㅎ손을 위로 올리시고,. 10초뒤 다시 내려보세요 혈관이 아직 그 상태인가요?아닐껍니다.. 혈액이 중력으로 내려갔다가 다시 원상태가 되고 있을거에요 ㅎㅎ 즉 그 순간은안보인다는 겁니다 ㅎㅎ모든사람이 그렇다고 할수 있구요 ㅎㅎ 예를들어 설명한거에요 ㅎㅎ도움이 되셨나요?ㅎㅎ걱정마세요^^"
"역류성식도염을 앓고있는데요최근들어 너무 심해졌어요 호흡곤란, 기침이 심해 잠도 못자고요 오늘은 갑자기 핑 돌면서 두통, 심한 속 울렁거림(곧 쓰러질거같은), 잦은 트림, 가래, 잦은 방귀 증상이 너무 심해졌어요 어떻게 해야 나을까요? ㅠㅠ 수술이 답인가요?","... 울화병이 있을 땐 어느 병원을 가야하나요? 안녕하세요, 닥톡-네이버 지식iN 상담한의사 김하나입니다. 현재 울화가 치밀고 화병이 일어나는데 어느 병원을 가서 진료를...","역류성식도염의 치료기간은 짧게는 몇주 걸리는 경우도 있지만 평균 3개월 정도로 개개인의 질환의 진행 정도나 생활습관에 따라 아주 다양하게 나타나므로 치료기간을 단축하기 위해서는 약물치료와 식습관 관리를 철저히 하셔야 합니다.역류성식도염은 한번 발병하면 쉽게 치료가 되지 않을 뿐더러 증상이 없어졌다 하더라도 식습관 관리가 안되면 쉽게 재발하는 질환으로 평생 관리가 필요한 질환이라 생각하셔야 합니다. (6개월 이내 재발률 80%)역류성식도염은 위산이 식도로 역류하여 식도를 자극해 여러가지 증상들이 나타나는 질환입니다. 역류성식도염의 발병과정을 간단하게 요약하면 다음과 같습니다.잘못된 식습관, 과도한 스트레스 -> 위기능장애(위산과다,위산부족,속쓰림,소화불량 등) -> 하부식도괄약근 느슨해짐 -> 위산역류 -> 식도에 염증발생(역류성식도염)위기능장애 현상이 빨리 치료되지 않고 지속되다 보면 하부식도괄약근에도 영양을 미쳐 괄약근이 점점 느슨해지게 됩니다. 하부식도괄약근이 느슨해진 틈으로 위장내에 머물러 있어야 할 위산이나 음식물이 식도로 역류하여 염증을 일으키게 되는데 이를 역류성식도염이라 합니다.한번 느슨해진 하부식도괄약근은 쉽게 정상으로 돌아오지 않으며, 이를 정상화시킬 약물 또한 존재하지 않습니다. 약이나 식습관 관리로 인해 역류성식도염 증상이 일시적으로 사라졌다 하더라도 이는 느슨해진 하부식도괄약근이 정상으로 돌아왔다기 보다는 위산역류 현상이 줄어들거나 없어져 식도를 자극하지 않아 증상만 일시적으로 없어졌을뿐 완치되었다고 보기는 어렵습니다.따라서 역류성식도염의 재발을 막기 위해서는 역류성식도염의 근본원인이라 할 수 있는 잘못된 식습관을 개선하고 과도한 스트레스를 받지 않도록 꾸준히 관리해야 합니다. 이와 더불어 악화된 위기능을 정상화 시키려는 노력을 지속해야 합니다. 위기능의 정상화를 위해서는 위산분비를 적절하게 조절해 주는 음식과 염증을 완화시키는 음식, 위장운동을 강화시켜주는 노루궁뎅이버섯 같은 음식이 도움이 되는 경우를 많이 보게 됩니다.역류성 식도염 개선을 위한 생활수칙 1. 취침 시 잠자리의 상체 부위를 높여준다. (높은 베개를 사용하는 것은 도움이 되지 않음)  2. 꼭 끼는 옷을 삼가 하도록 하며, 식후에 곧바로 눕지 않도록 한다.  3. 취침 전 3시간 내에는 음식이나 물을 먹지 마십시오.(음주는 주로 저녁이나 밤에 하므로 위 내용물이 다음날 아침까지 지속적으로 역류될 수 있음.)  4. 비만한 경우에는 체중을 줄이는 것이 좋다.  5. 증상을 악화시킬 수 있는 음식에는 오렌지 쥬스, 토마토 쥬스, 콜라, 커피 같은 청량음료나 음료수가 포함되며, 고구마나 밀가루 음식은 역시 역류를 악화시킨다. 기름진 음식, 초콜렛, 폭음, 폭식을 피하고, 본인 스스로 증상을 악화시키는 음식을 알아내어 먹고 매사에 주의하는 것이 더 좋다.  6. 술과 담배를 삼가 한다.  7. 아주 뜨겁거나 찬 음식에도 주의하시는 것이 좋으며 개개인마다 증상을 일으키는 정도나 증상이 일어나는 식품이 다르므로 이전에 소화불량이나 신트림 증상이 있었던 음식들을 피하는 것이 좋다.  8. 식사 1시간 정도 후에 조깅 등의 가벼운 유산소 운동을 하루 30분 이상 꾸준히 하면 좋다. (식사 후 바로 운동하는 것은 좋지 않음"
"역류성식도염을 앓고있는데요최근들어 너무 심해졌어요 호흡곤란, 기침이 심해 잠도 못자고요 오늘은 갑자기 핑 돌면서 두통, 심한 속 울렁거림(곧 쓰러질거같은), 잦은 트림, 가래, 잦은 방귀 증상이 너무 심해졌어요 어떻게 해야 나을까요? ㅠㅠ 수술이 답인가요?","... 울화병이 있을 땐 어느 병원을 가야하나요? 안녕하세요, 닥톡-네이버 지식iN 상담한의사 김하나입니다. 현재 울화가 치밀고 화병이 일어나는데 어느 병원을 가서 진료를...","역류성식도염은 위장의 위산과 음식물이 식도로 역류하면서 나타나는 염증입니다.소화불량으로 인하여 위 점막이 약해서 소화효소액(위산+담즙)이 역류하여 발생하는 것으로역류의 과정이 반복되면 식도의 점막에 손상이 일어나고 이것이 식도에서 쓰린 증상과 함께 목에 뭔가 걸린 듯한 증상으로 나타납니다.역류성 식도염의 원인은 여러 가지가 있지만 현대사회에서 빠질 수 없는 스트레스, 불규칙한 식습관, 폭식 등이 주 원인 입니다.역류성식도염의 대표적인 증상으로는 목에 신물이 올라오는 느낌, 가슴이 타는 듯 한 증상이 있습니다.역류성식도염을 개선하는 방법은 앞에서도 언급했던 발생원인들을 제거하는 것입니다.스트레스를 줄이고 식생활 조절을 통해 어느 정도 치료가 가능합니다.병원에서 약을 처방 받으셔서 섭취하시더라도 약이 위산을 중화시키는 제산제의 역할을하므로 생활습관 조절을 함께 하시는 것이 원칙입니다.생활 속에서 실천 할 수 있는 방법들입니다.  - 몸을 이완시키는 명상이나 스트레칭, 족욕하기- 지나치게 뜨겁거나 차가운 음식 피하기- 자극적인 음식 피하기- 식사량 자체를 줄이기또한 역류성식도염은 소화불량 등으로 인하여 위 점막이 약해져 염증이 발생되어 역류하는현상이므로 소화불량도 같이 잡아주는 것이 좋습니다.소화불량은 평소 소화가 안 되었던 음식들 피하기, 식후에는 바로 눕지 않기, 국물음식을 줄이기. 몸 건강을 위해서 영양제를 챙겨 먹는 것도 좋은 방법입니다.(네이버에 검색하시면 ‘위양배추,’소하튼‘ 등의 다양한 제품 검색됨)모든 질병들이 그렇지만 특히 식습관이나 생활습관과 연관이 많은 역류성식도염은 약을 복용한다고 완치되는 것이 아님을 이해하시고 바른 식습관과 생활습관, 건강기능식품 챙겨먹기 등을 통해 꾸준히 관리하시기 바랍니다."
"역류성식도염을 앓고있는데요최근들어 너무 심해졌어요 호흡곤란, 기침이 심해 잠도 못자고요 오늘은 갑자기 핑 돌면서 두통, 심한 속 울렁거림(곧 쓰러질거같은), 잦은 트림, 가래, 잦은 방귀 증상이 너무 심해졌어요 어떻게 해야 나을까요? ㅠㅠ 수술이 답인가요?","... 울화병이 있을 땐 어느 병원을 가야하나요? 안녕하세요, 닥톡-네이버 지식iN 상담한의사 김하나입니다. 현재 울화가 치밀고 화병이 일어나는데 어느 병원을 가서 진료를...","지금 님께서 겪는 증상들 대다수가염분부족에 의한 탈수증세입니다 ㅡ맥아리가 없어진거다 이겁니다 ㅡ(기침 가래 호흡곤란 두통 트럼등등)심각한 탈수로 인한 체내 대사장애가극도에 달한 상태이지요 ㅡ물,소금, 효소 또는 규소면 끝!!위산 ㅡ 소금과 물 위벽보호액 (중탄산염)ㅡ소금 물 이산환탄소위괄약근 수축이완 장애 ㅡ 나트륨, 칼슘,마그네슘,규소 부족 !!즉, 아주 예전부터 식습관의 잘못으로 인해체내 필요한 영양소를 제때 공급해주지 않은이유로 누적되고 누적돼서 장기의 기능들이 회복되지 않고 있는 것임 ㅡ위 내용에 질문자분은 스스로 판단하기보단인지하시고 결정만 올바르게 내리시면 이제부터라도 건강한 삶을 살 수 있겠습니다~^^재발없이 건강한 삶을 누리시려면언제든 상담요청하시길 ㅡㅡ만성통증 치유 센터 ㅡ"
일하다 손톱이 찍혀서 손톱에 피멍이 생겼는데요 한달 좀 넘었는데 피는 빠지고 있는것 같는데 어느순간부터 혼자 구멍이 뚫리더니 점점 커지고 기분탓일수도 있는데 의식하니까 좀 시린것같은데 병원 안가고 그냥 냅두면 알아서 빠질려나요..?,"... 울화병이 있을 땐 어느 병원을 가야하나요? 안녕하세요, 닥톡-네이버 지식iN 상담한의사 김하나입니다. 현재 울화가 치밀고 화병이 일어나는데 어느 병원을 가서 진료를...",알아서 따질수도 있지만 병원에 한번 가보시는 것을 추천해요. 너무 심하네요.
오늘 피어싱 햇는데 소독약 이거 써도 괜찮나요??,"... 울화병이 있을 땐 어느 병원을 가야하나요? 안녕하세요, 닥톡-네이버 지식iN 상담한의사 김하나입니다. 현재 울화가 치밀고 화병이 일어나는데 어느 병원을 가서 진료를...",안녕하세요 답변 드릴게요우선 귀걸이는 어느 소독약이든 잘 받더라고요 근데 피부에 알레르기같은 피부병이 있다면 그럼 한번쯤은병원에 가서 비싸더라도 좋은 소독약을 받으시는 것이 좋을 것 같네요
레이저 제모에 대해 질문 합니다!레이저 제모를 받고 모낭염 등 염증이 생기는건 어느 병원이나 흔히 일어나는 일인가요??잘하는 병원은 염증같은거 없이 해주나요???,"... 울화병이 있을 땐 어느 병원을 가야하나요? 안녕하세요, 닥톡-네이버 지식iN 상담한의사 김하나입니다. 현재 울화가 치밀고 화병이 일어나는데 어느 병원을 가서 진료를...","안녕하세요 레이져 제모 후 모낭염에 대해서 질문을 주셨는데요,모낭염은 병원 기술에 따라 발병되는 것이 아니라시술 후 관리하는 과정에서 균에 노출되어생기는 것이니 잘하고 못하는것은 상관이 없다고 생각하시면 됩니다간혹 레이져 시술 후 모낭염이 발생하는 경우가 있는데레이져가 모낭을 자극하기 때문에아무래도 관리가 잘못 되면 모낭염이 생길 수 있습니다따라서 최소 삼일간은 수영장이나 찜질방, 사우나는피해주시는 것이 좋으며제모후에 붉고 가볍고 따끔거리는 증세가 있을 경우모낭염이 의심되니 병원에 가셔서 치료받으시면 됩니다답변에 도움이 되셨다면 채택부탁드립니다"
레이저 제모에 대해 질문 합니다!레이저 제모를 받고 모낭염 등 염증이 생기는건 어느 병원이나 흔히 일어나는 일인가요??잘하는 병원은 염증같은거 없이 해주나요???,"... 울화병이 있을 땐 어느 병원을 가야하나요? 안녕하세요, 닥톡-네이버 지식iN 상담한의사 김하나입니다. 현재 울화가 치밀고 화병이 일어나는데 어느 병원을 가서 진료를...",잘하는 병원이고 못하는 병원이고 염증은 생길 수 있습니다. 하지만 10에 8은 이상없이 제모가 되기 때문에제모 모낭염 때문에 걱정이시라면 많이 걱정은 하지 않으셔도 될 것 같아요.
이거 헤르페스 인가요?몇일전부터 가려워서 긁었는데(원래 자주 긁었습니다ㅋㅋ)어느날 따가워서 보니까 수포인지 딱지인지 되있네요다른부위는 진물같은것도 납니다.첫번째 사진의 노란색은 연고 계속 발라서 그런거고요증상나타난 후로 계속 간지럽고 가끔씩 따갑네요1형 증상은 없고 2형증상만 있는것 같습니다그리고 면연력 좋아지면 자가치유되나요?꼭병원 가야하나요?관계는 증상 3일전쯤 했네요.둘다 처음이였고 감염경로는 없어보이는데 화장실 변기에 바짝붙여서 오줌싸는 습관때문일까요...??+증상이 나타나기 2일전쯤부터 변을보고 닦을때 항문쪽이 따가웠습니다.사진의 붉은반점은 어느순간 보니 저렇게 되있던거라 붉은반점 전의 증상인 투명한 반점은 보지못하였네요.아파서 보니 저렇게 되있습니다.연고를 계속 바른쪽은 붉은색이 사라지는 중이며 간지러움은 없어지는 중인데 안바른쪽이 가끔씩 간지럽네요사진혐오주의!!죄송합니다,"... 울화병이 있을 땐 어느 병원을 가야하나요? 안녕하세요, 닥톡-네이버 지식iN 상담한의사 김하나입니다. 현재 울화가 치밀고 화병이 일어나는데 어느 병원을 가서 진료를...",혹시 (이)가 아닌가요?한번 비뇨기과 가서상담해보세요.
눈매교정이 눈살이 많아서 쌍커풀이 덮여있는 건가요? 쌍액같은거 하면 좀 나아질까요?,"... 울화병이 있을 땐 어느 병원을 가야하나요? 안녕하세요, 닥톡-네이버 지식iN 상담한의사 김하나입니다. 현재 울화가 치밀고 화병이 일어나는데 어느 병원을 가서 진료를...","헉, 전혀 아니에요 ㅠㅠㅠ!!!!!!!눈매교정은 눈이 졸려보이는것 처럼 보이고, 눈꺼풀에 힘이 없어서이마로 눈을 뜨는 사람들이 눈매교정을 받는거에요! 눈꺼풀에 힘이 없어서눈을 잘 못해서 흐릿하니까 눈매교정으로 또렷하게 해주는거에요눈매교정을 받으셔야하는지는 병원에 가시면 정확하게 알려주실거에요!쌍액을 하시면 눈살이 더 늘어져요! ㅠㅠ ;;;; 쌍액을 할 때만 괜찮아보이지만눈꺼풀이 계속 늘어나지기 때문에 근본적인 해결책은 커녕 더안좋아질 수도 있으니까 쌍액은 하지마세요...어느 방법으로 해결하시는지는 병원에 가시면 정확하게 아실 수 있으니까눈수술로 실력이 좋다는 병원 알아보셔서 상담 가보시는게 젤 좋으실 것 같아요!"
눈매교정이 눈살이 많아서 쌍커풀이 덮여있는 건가요? 쌍액같은거 하면 좀 나아질까요?,"... 울화병이 있을 땐 어느 병원을 가야하나요? 안녕하세요, 닥톡-네이버 지식iN 상담한의사 김하나입니다. 현재 울화가 치밀고 화병이 일어나는데 어느 병원을 가서 진료를...",눈매교정은 눈을 뜨는 힘이 부족해서 이마로 눈을 뜨는 분이나 눈을 딱 떳을때 졸려보이거나 할때 하더라구요쌍액은 안하시는게 좋아요
눈매교정이 눈살이 많아서 쌍커풀이 덮여있는 건가요? 쌍액같은거 하면 좀 나아질까요?,"... 울화병이 있을 땐 어느 병원을 가야하나요? 안녕하세요, 닥톡-네이버 지식iN 상담한의사 김하나입니다. 현재 울화가 치밀고 화병이 일어나는데 어느 병원을 가서 진료를...","안녕하세요.^^눈뜨는 힘이 부족하여 눈썹 근육, 이마근육을 이용하여 눈을 뜨며,졸려보이는 눈매, 눈꺼풀이 눈동자를 반이상 가리는 눈매 등등에 해당이 되는 증상이시라면 눈매교정 수술로 고려를 해보시면 도움이 되실 겁니다.쌍액을 자주 사용하시다보면 피부가 늘어지거나 염증이 생길 수 있으니 주의하여 사용하셔야 합니다.수술을 예정중이시라면 쌍액은 하지 않는 편이 좋습니다.눈커풀살이 늘어지면 눈을 뜨셨을때 눈커풀이 눈동자를 더 많이 가릴 수도 있습니다.시간이 되시면 병원에 직접 방문하시어 전문의에게 정확한 진단을 받아보실 것을 권해드립니다.*^^*"
얇아진 머리 회복 가능한가요 ?,머리가 한순간에 얇아졋습니다 제가 두피가 붉고 기름도 잘지고 두피 통증까지 있는걸로봐선 지루성 두피염이라고하는대 병원 가보니 한번 얇아진 머리는 회복이 거의 불가능하다고 한 100명중 1명이 회복하는거라고 하더라구요 또 빠진머리 회복은 1000명중 1명이 회복하는거라면 머리는 회복하는게 아니고 현제 머리를 유지하는 거라더군요 한번 얇아지거나 빠진 머리는 회복이 불가능한건가요 ?,네 많이 힘들기는 합니다. 탈모 또한 악화가 된다면 복구하기는 힘들고요.그래서 빨리 병원에 가서 악화가 되는 것을 막아야 하는 것입니다.그래도 더 악화가 되지 않기 위해서 꾸준하게 관리 받아보시는 것이 좋을 것 같습니다.
얇아진 머리 회복 가능한가요 ?,머리가 한순간에 얇아졋습니다 제가 두피가 붉고 기름도 잘지고 두피 통증까지 있는걸로봐선 지루성 두피염이라고하는대 병원 가보니 한번 얇아진 머리는 회복이 거의 불가능하다고 한 100명중 1명이 회복하는거라고 하더라구요 또 빠진머리 회복은 1000명중 1명이 회복하는거라면 머리는 회복하는게 아니고 현제 머리를 유지하는 거라더군요 한번 얇아지거나 빠진 머리는 회복이 불가능한건가요 ?,네~~ 회복 힘드세요! 근데 샴푸를 모근강화용으로 쓰심될듯해요^^~
얇아진 머리 회복 가능한가요 ?,머리가 한순간에 얇아졋습니다 제가 두피가 붉고 기름도 잘지고 두피 통증까지 있는걸로봐선 지루성 두피염이라고하는대 병원 가보니 한번 얇아진 머리는 회복이 거의 불가능하다고 한 100명중 1명이 회복하는거라고 하더라구요 또 빠진머리 회복은 1000명중 1명이 회복하는거라면 머리는 회복하는게 아니고 현제 머리를 유지하는 거라더군요 한번 얇아지거나 빠진 머리는 회복이 불가능한건가요 ?,회복가능합니다 어느정도는 다시자라는게 빠를수도있죠
쌍문역에서 미아사거리역 병원까지 유모차끌고 가려고하는데요 두 역다 엘리베이터 이용가능한가요?엘리베이터가 어느쪽에 있는지 알려주세요,"... 울화병이 있을 땐 어느 병원을 가야하나요? 안녕하세요, 닥톡-네이버 지식iN 상담한의사 김하나입니다. 현재 울화가 치밀고 화병이 일어나는데 어느 병원을 가서 진료를...",쌍문역은 1번 출구와2번 출구사이에 있고미아 사거리역은 1번 출구 옆에 있습니다.
가슴이 아파요진짜 가슴이 아픈거 오래됬어요 ㅠㅠㅠ근데도 가슴이 아픈거 오래됬는데도 아직도 아프고오늘 2018년 7월 10일인데 지금 피가나요 ㅠㅠ처음에는 간지러워서 긁었다가 저번에? 도 피가난걸로 기억하고 지금도 피가나요 ㅠㅜㅠ -------1.이때 어떻게하나요2. 유방암은 혹시 아닌가요 ?,"... 울화병이 있을 땐 어느 병원을 가야하나요? 안녕하세요, 닥톡-네이버 지식iN 상담한의사 김하나입니다. 현재 울화가 치밀고 화병이 일어나는데 어느 병원을 가서 진료를...","안녕하십니까 한의학 박사 방선휘입니다.질문자님께서 남겨주신 내용만으로 유방암을의심하기에는 다소 부족함이 많습니다.유방암에 있어서 가장 흔히 나타나는 증상은통증 없이 멍울이 만져지는 것입니다.그 외 유두에 피 섞인 분비물이 배출된다거나암이 어느 정도 진행된 후에는 유방 부위 피부가오렌지껍질처럼 울퉁불퉁 두꺼워지기도 합니다.가슴 통증의 경우, 생리 전 딱딱해지면서흔히 나타나는 증상입니다. 대부분 자연스럽게사라지는 것이 일반적입니다만, 현재 오랜 기간지속되셨다고 하니 정확한 진료는 필요할 것으로 보입니다.더불어 유방 부위 염증도 동반되고 있는 것으로 보여지레짐작으로 걱정하기 보다는 병원 내원하셔서정확한 진료를 통해 적절한 치료 받으시기를 당부 드립니다.암에 대한 과도한 걱정은 오히려 스트레스로작용되어 건강에 부정적인 영향을 미치므로과도한 걱정은 삼가고 병원 내원하시기 바랍니다.질문자님의 궁금증을 해소하는데 도움 되는답변이었길 바랍니다. 좋은 하루 되세요."
전방십자인대 수술에대하여,"안녕하세요 5월4일엔 전방십자인대 파열이 됐습니다 mri를찍어보니 완파는아니고 부분파열이라고 7월26일 수술 들어갑니다.. 수술에 대하여 물어보고싶은게 있습니다.1. 하반신 마취한다는데 어디다 주사를 넣나요?? (몇번 넣는지도)2, 수술자국은 티가 많이 나나요??3. 입원은 어느정도 해야되나요 4. 부분파열은 무슨수술 해야되나요 많이 아픈가요??5. 수술후 다음날 목욕은 할수있나요??질문에 답해드리면 감사하겠습니다.","안녕하세요. 대한의사협회·네이버 지식iN 상담의사 권제호 입니다.전방십자인대 수술에 대해서 문의하셨습니다. 부분파열인데 왜 수술을? 우선 바로 답변드리겠습니다. 1. 하반신 마취한다는데 어디다 주사를 넣나요?? (몇번 넣는지도)-> 허리에 주사 놓습니다. 2, 수술자국은 티가 많이 나나요??-> 네 처음에는 많이 나지만 몇년지나면 거의 없어집니다.3. 입원은 어느정도 해야되나요 -> 3-5일 병원마다 조금씩 차이는 있습니다.4. 부분파열은 무슨수술 해야되나요 많이 아픈가요??-> 보통 전방십자인대 부분파열은 수술하지 않고 처음에 깁스하고 재활하고 3개월정도 지나서 다시 검사해서 살아나는지 보고 수술결정합니다.5. 수술후 다음날 목욕은 할수있나요??-> 아뇨! 수술 후 3주간 목욕 못합니다. 샤워할려면 5일정도는 지난 후에 칭칭 감고 조심스럽게 해야 합니다. 전방십자인대 수술에 대해서 답변이 되셨길 빕니다."
병원 추천 내공100,저는 거북목때문에 목이 자주 아프고 학교 시험을 칠때도 불편한데요.한의원을 가야할까요.아니면 거북목때문에 두통도 심하고 거북목이 뇌에도 영향을끼친다는데 신경외과를 가야할까요.그것도 아니라면 요즘 스트레스도 자주받고 불안감과 정신적으로 힘들 때도 있는데정신과를 가야할까요.병원을 골라서 가냐는 미친소리로 들릴 수도있지만 병원을 안방마냥 다닐 처지의 신분(학생) 이 아니라서요.(장난식 발언 삼가해주시기 바랍니다.)내공100,"마음처럼 쉬운 것이 아니겠지만 우선 심신의 안정이 필요해보입니다.최대한 편한 마음을 갖고 스트레스받지 않게 해주세요.우선 거북목이나 디스크로 인해 두통이 발생될 수 있는건 맞습니다. 다만 두통이 정확히 거북목으로 인해 발생되는 것이냐가 문제인데,두통관련해서는 신경정신과쪽으로  진료를 받아보시는게 맞을 것 같고거북목의 경우에도 방치시 후에 교정이 힘들고 디스크를 유발할 수 있으므로전문 병원에서 진료받으신 뒤 알맞은 치료를 진행하시는 것이 좋아보입니다.정확히 어느병원에 가셔서 어느 진료를 받으시라 말씀드리고 싶지만질문자님의 상태가 정확히 어떤지 가늠으로 답변을 드리는 것이기 때문에답변이 많이 부족한점 사과드립니다.아무쪼록 몸관리 잘 하셔서 시험도 잘 치시고 스트레스받지 않으시길 바라겠습니다."
